# d_f:2.7
# l:200
# g:50
# phi:0.1
# l_k:3.5
# ideal_br:True
# N_e:10031
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 1.28704e-08 1.00654e-07 1.93539e-27 1.96870e-07 3.10395e-07
8.96151e+03 1.51372e-08 1.18084e-07 3.56192e-25 2.30401e-07 3.63622e-07
8.03086e+03 1.78135e-08 1.38567e-07 3.81837e-23 2.69629e-07 4.26010e-07
7.19686e+03 2.09746e-08 1.62634e-07 2.52193e-21 3.15491e-07 4.99100e-07
6.44947e+03 2.47105e-08 1.90907e-07 1.07920e-19 3.69054e-07 5.84672e-07
5.77969e+03 2.91282e-08 2.24114e-07 3.13022e-18 4.31574e-07 6.84816e-07
5.17947e+03 3.43555e-08 2.63102e-07 6.40770e-17 5.04450e-07 8.01908e-07
4.64159e+03 4.05453e-08 3.08862e-07 9.59887e-16 5.89286e-07 9.38693e-07
4.15956e+03 4.78809e-08 3.62544e-07 1.08701e-14 6.87893e-07 1.09832e-06
3.72759e+03 5.65833e-08 4.25488e-07 9.58056e-14 8.02304e-07 1.28438e-06
3.34048e+03 6.69192e-08 4.99241e-07 6.74564e-13 9.34782e-07 1.50094e-06
2.99358e+03 7.92133e-08 5.85597e-07 3.88415e-12 1.08781e-06 1.75262e-06
2.68270e+03 9.38629e-08 6.86622e-07 1.86777e-11 1.26410e-06 2.04460e-06
2.40410e+03 1.11359e-07 8.04690e-07 7.64328e-11 1.46653e-06 2.38266e-06
2.15443e+03 1.32316e-07 9.42521e-07 2.70704e-10 1.69811e-06 2.77322e-06
1.93070e+03 1.57501e-07 1.10321e-06 8.42455e-10 1.96181e-06 3.22336e-06
1.73020e+03 1.87879e-07 1.29023e-06 2.33527e-09 2.26035e-06 3.74080e-06
1.55052e+03 2.24866e-07 1.50765e-06 5.83666e-09 2.59586e-06 4.33421e-06
1.38950e+03 2.69717e-07 1.75942e-06 1.32980e-08 2.96949e-06 5.01192e-06
1.24520e+03 3.24295e-07 2.05004e-06 2.78917e-08 3.38092e-06 5.78315e-06
1.11588e+03 3.90584e-07 2.38394e-06 5.43339e-08 3.82794e-06 6.65679e-06
1.00000e+03 4.71623e-07 2.76526e-06 9.90895e-08 4.30619e-06 7.64217e-06
8.96151e+02 5.68123e-07 3.19763e-06 1.70393e-07 4.80907e-06 8.74522e-06
8.03086e+02 6.82488e-07 3.68378e-06 2.78062e-07 5.32800e-06 9.97233e-06
7.19686e+02 8.16128e-07 4.22532e-06 4.33130e-07 5.85285e-06 1.13274e-05
6.44947e+02 9.69854e-07 4.82245e-06 6.47370e-07 6.37264e-06 1.28123e-05
5.77969e+02 1.14376e-06 5.47438e-06 9.32819e-07 6.87626e-06 1.44272e-05
5.17947e+02 1.33717e-06 6.17876e-06 1.30138e-06 7.35321e-06 1.61705e-05
4.64159e+02 1.54867e-06 6.93230e-06 1.76462e-06 7.79425e-06 1.80398e-05
4.15956e+02 1.77621e-06 7.73104e-06 2.33372e-06 8.19178e-06 2.00327e-05
3.72759e+02 2.01720e-06 8.57086e-06 3.01974e-06 8.54014e-06 2.21479e-05
3.34048e+02 2.26877e-06 9.44777e-06 3.83400e-06 8.83561e-06 2.43862e-05
2.99358e+02 2.52791e-06 1.03585e-05 4.78868e-06 9.07630e-06 2.67514e-05
2.68270e+02 2.79178e-06 1.13007e-05 5.89756e-06 9.26189e-06 2.92519e-05
2.40410e+02 3.05796e-06 1.22733e-05 7.17684e-06 9.39340e-06 3.19015e-05
2.15443e+02 3.32477e-06 1.32770e-05 8.64601e-06 9.47288e-06 3.47206e-05
1.93070e+02 3.59167e-06 1.43134e-05 1.03289e-05 9.50312e-06 3.77371e-05
1.73020e+02 3.85962e-06 1.53858e-05 1.22546e-05 9.48739e-06 4.09875e-05
1.55052e+02 4.13157e-06 1.65040e-05 1.44587e-05 9.42906e-06 4.45233e-05
1.38950e+02 4.41293e-06 1.76614e-05 1.69841e-05 9.33186e-06 4.83903e-05
1.24520e+02 4.71204e-06 1.88701e-05 1.98830e-05 9.19956e-06 5.26646e-05
1.11588e+02 5.04069e-06 2.01349e-05 2.32401e-05 9.03518e-06 5.74509e-05
1.00000e+02 5.41464e-06 2.14616e-05 2.70884e-05 8.84478e-06 6.28094e-05
8.96151e+01 5.85414e-06 2.28552e-05 3.15343e-05 8.63007e-06 6.88737e-05
8.03086e+01 6.38447e-06 2.43208e-05 3.66862e-05 8.39539e-06 7.57869e-05
7.19686e+01 7.03657e-06 2.58628e-05 4.25803e-05 8.14419e-06 8.36239e-05
6.44947e+01 7.84777e-06 2.74849e-05 4.95546e-05 7.87963e-06 9.27668e-05
5.77969e+01 8.86256e-06 2.91905e-05 5.76901e-05 7.60469e-06 1.03348e-04
5.17947e+01 1.01337e-05 3.09849e-05 6.72152e-05 7.33294e-06 1.15667e-04
4.64159e+01 1.17232e-05 3.28668e-05 7.82841e-05 7.03579e-06 1.29910e-04
4.15956e+01 1.37040e-05 3.48464e-05 9.12616e-05 6.74828e-06 1.46560e-04
3.72759e+01 1.61620e-05 3.69282e-05 1.06468e-04 6.46275e-06 1.66021e-04
3.34048e+01 1.91975e-05 3.91147e-05 1.24321e-04 6.18136e-06 1.88814e-04
2.99358e+01 2.29283e-05 4.14060e-05 1.45294e-04 5.90509e-06 2.15533e-04
2.68270e+01 2.74929e-05 4.38105e-05 1.69930e-04 5.63373e-06 2.46867e-04
2.40410e+01 3.30537e-05 4.63344e-05 1.98790e-04 5.36640e-06 2.83545e-04
2.15443e+01 3.98017e-05 4.89836e-05 2.32723e-04 5.10244e-06 3.26611e-04
1.93070e+01 4.79617e-05 5.17648e-05 2.72576e-04 4.84232e-06 3.77144e-04
1.73020e+01 5.77979e-05 5.48209e-05 3.19466e-04 4.58812e-06 4.36673e-04
1.55052e+01 6.96220e-05 5.79218e-05 3.74682e-04 4.34341e-06 5.06569e-04
1.38950e+01 8.38006e-05 6.11043e-05 4.39683e-04 4.11232e-06 5.88700e-04
1.24520e+01 1.00766e-04 6.45262e-05 5.17108e-04 3.89857e-06 6.86299e-04
1.11588e+01 1.21029e-04 6.80890e-05 6.06508e-04 3.70414e-06 7.99329e-04
1.00000e+01 1.45189e-04 7.18851e-05 7.12693e-04 3.52870e-06 9.33295e-04
1.73020e+04 5.77369e-09 4.55610e-08 2.34897e-43 8.98950e-08 1.41230e-07
1.55052e+04 6.76836e-09 5.33351e-08 1.93314e-39 1.05089e-07 1.65193e-07
1.38950e+04 7.94012e-09 6.24702e-08 6.24469e-36 1.22899e-07 1.93310e-07
1.24520e+04 9.32115e-09 7.32062e-08 8.72566e-33 1.43773e-07 2.26300e-07
1.11588e+04 1.09495e-08 8.58226e-08 5.75342e-30 1.68225e-07 2.64997e-07
