# d_f:2.7
# l:200
# g:67
# phi:0.1
# l_k:3.5
# ideal_br:True
# N_e:6518
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 1.48854e-08 8.76611e-08 1.81216e-27 1.29084e-07 2.31630e-07
8.96151e+03 1.74466e-08 1.02609e-07 3.33513e-25 1.50902e-07 2.70958e-07
8.03086e+03 2.04667e-08 1.20192e-07 3.57525e-23 1.76505e-07 3.17164e-07
7.19686e+03 2.40300e-08 1.40879e-07 2.36136e-21 2.06543e-07 3.71452e-07
6.44947e+03 2.82367e-08 1.65220e-07 1.01049e-19 2.41773e-07 4.35230e-07
5.77969e+03 3.32061e-08 1.93867e-07 2.93092e-18 2.83091e-07 5.10164e-07
5.17947e+03 3.90805e-08 2.27583e-07 5.99972e-17 3.31519e-07 5.98183e-07
4.64159e+03 4.60302e-08 2.67270e-07 8.98771e-16 3.88249e-07 7.01548e-07
4.15956e+03 5.42591e-08 3.13983e-07 1.01780e-14 4.54658e-07 8.22900e-07
3.72759e+03 6.40124e-08 3.68967e-07 8.97056e-14 5.32320e-07 9.65299e-07
3.34048e+03 7.55862e-08 4.33678e-07 6.31614e-13 6.23041e-07 1.13231e-06
2.99358e+03 8.93401e-08 5.09827e-07 3.63685e-12 7.28868e-07 1.32804e-06
2.68270e+03 1.05714e-07 5.99416e-07 1.74885e-11 8.52099e-07 1.55725e-06
2.40410e+03 1.25250e-07 7.04785e-07 7.15663e-11 9.95279e-07 1.82539e-06
2.15443e+03 1.48625e-07 8.28660e-07 2.53468e-10 1.16115e-06 2.13869e-06
1.93070e+03 1.76687e-07 9.74207e-07 7.88815e-10 1.35258e-06 2.50426e-06
1.73020e+03 2.10496e-07 1.14506e-06 2.18658e-09 1.57234e-06 2.93009e-06
1.55052e+03 2.51576e-07 1.34534e-06 5.46504e-09 1.82287e-06 3.42525e-06
1.38950e+03 3.01338e-07 1.57961e-06 1.24513e-08 2.10583e-06 3.99923e-06
1.24520e+03 3.61803e-07 1.85307e-06 2.61158e-08 2.42174e-06 4.66273e-06
1.11588e+03 4.35137e-07 2.17022e-06 5.08744e-08 2.76949e-06 5.42573e-06
1.00000e+03 5.24507e-07 2.53611e-06 9.27804e-08 3.14610e-06 6.29949e-06
8.96151e+02 6.30885e-07 2.95505e-06 1.59544e-07 3.54653e-06 7.29201e-06
8.03086e+02 7.56793e-07 3.43052e-06 2.60358e-07 3.96390e-06 8.41157e-06
7.19686e+02 9.03754e-07 3.96483e-06 4.05552e-07 4.38980e-06 9.66394e-06
6.44947e+02 1.07263e-06 4.55892e-06 6.06152e-07 4.81488e-06 1.10526e-05
5.77969e+02 1.26351e-06 5.21223e-06 8.73426e-07 5.22949e-06 1.25786e-05
5.17947e+02 1.47564e-06 5.92315e-06 1.21852e-06 5.62431e-06 1.42416e-05
4.64159e+02 1.70751e-06 6.68868e-06 1.65227e-06 5.99095e-06 1.60394e-05
4.15956e+02 1.95689e-06 7.50516e-06 2.18513e-06 6.32234e-06 1.79695e-05
3.72759e+02 2.22110e-06 8.36861e-06 2.82747e-06 6.61295e-06 2.00301e-05
3.34048e+02 2.49724e-06 9.27523e-06 3.58988e-06 6.85894e-06 2.22213e-05
2.99358e+02 2.78249e-06 1.02217e-05 4.48378e-06 7.05802e-06 2.45460e-05
2.68270e+02 3.07452e-06 1.12054e-05 5.52206e-06 7.20938e-06 2.70113e-05
2.40410e+02 3.37187e-06 1.22248e-05 6.71988e-06 7.31278e-06 2.96293e-05
2.15443e+02 3.67441e-06 1.32795e-05 8.09551e-06 7.37162e-06 3.24210e-05
1.93070e+02 3.98384e-06 1.43699e-05 9.67125e-06 7.38631e-06 3.54113e-05
1.73020e+02 4.30414e-06 1.54972e-05 1.14744e-05 7.36041e-06 3.86361e-05
1.55052e+02 4.64208e-06 1.66635e-05 1.35381e-05 7.29715e-06 4.21408e-05
1.38950e+02 5.00770e-06 1.78759e-05 1.59027e-05 7.20023e-06 4.59866e-05
1.24520e+02 5.41475e-06 1.91276e-05 1.86170e-05 7.07348e-06 5.02328e-05
1.11588e+02 5.88119e-06 2.04258e-05 2.17392e-05 6.92024e-06 5.49664e-05
1.00000e+02 6.42968e-06 2.17743e-05 2.53637e-05 6.74606e-06 6.03137e-05
8.96151e+01 7.08813e-06 2.31751e-05 2.95265e-05 6.55327e-06 6.63430e-05
8.03086e+01 7.89027e-06 2.46316e-05 3.43504e-05 6.34599e-06 7.32182e-05
7.19686e+01 8.87644e-06 2.61466e-05 3.98692e-05 6.12755e-06 8.10198e-05
6.44947e+01 1.00945e-05 2.77229e-05 4.63994e-05 5.90093e-06 9.01177e-05
5.77969e+01 1.16007e-05 2.93636e-05 5.40169e-05 5.66880e-06 1.00650e-04
5.17947e+01 1.34613e-05 3.10731e-05 6.29356e-05 5.44166e-06 1.12912e-04
4.64159e+01 1.57541e-05 3.28518e-05 7.32997e-05 5.19821e-06 1.27104e-04
4.15956e+01 1.85701e-05 3.47093e-05 8.54509e-05 4.96479e-06 1.43695e-04
3.72759e+01 2.20160e-05 3.66510e-05 9.96889e-05 4.73559e-06 1.63091e-04
3.34048e+01 2.62173e-05 3.86803e-05 1.16405e-04 4.51212e-06 1.85815e-04
2.99358e+01 3.13210e-05 4.07981e-05 1.36043e-04 4.29493e-06 2.12457e-04
2.68270e+01 3.75000e-05 4.30139e-05 1.59111e-04 4.08370e-06 2.43708e-04
2.40410e+01 4.49576e-05 4.53346e-05 1.86141e-04 3.87763e-06 2.80310e-04
2.15443e+01 5.39328e-05 4.77669e-05 2.17869e-04 3.67605e-06 3.23244e-04
