# d_f:2.7
# l:50
# g:200
# phi:0.3
# l_k:3.5
# ideal_br:True
# N_e:92
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 1.39298e-07 6.94527e-08 1.70445e-92 8.65729e-09 2.17408e-07
8.96151e+03 1.57348e-07 7.83726e-08 1.89820e-83 9.75926e-09 2.45480e-07
8.03086e+03 1.77737e-07 8.84747e-08 2.43127e-75 1.10106e-08 2.77223e-07
7.19686e+03 2.00769e-07 9.99033e-08 4.48415e-68 1.24284e-08 3.13101e-07
6.44947e+03 2.26786e-07 1.12823e-07 1.45662e-61 1.40324e-08 3.53641e-07
5.77969e+03 2.56174e-07 1.27421e-07 9.98134e-56 1.58454e-08 3.99441e-07
5.17947e+03 2.89372e-07 1.43914e-07 1.69597e-50 1.78941e-08 4.51180e-07
4.64159e+03 3.26873e-07 1.62548e-07 8.25927e-46 2.02090e-08 5.09630e-07
4.15956e+03 3.69236e-07 1.83600e-07 1.31259e-41 2.28250e-08 5.75661e-07
3.72759e+03 4.17090e-07 2.07389e-07 7.64708e-38 2.57819e-08 6.50261e-07
3.34048e+03 4.71148e-07 2.34273e-07 1.81260e-34 2.91250e-08 7.34546e-07
2.99358e+03 5.32215e-07 2.64656e-07 1.91916e-31 3.29053e-08 8.29776e-07
2.68270e+03 6.01200e-07 2.99009e-07 9.86898e-29 3.71830e-08 9.37393e-07
2.40410e+03 6.79132e-07 3.37852e-07 2.65682e-26 4.20245e-08 1.05901e-06
2.15443e+03 7.67172e-07 3.81783e-07 4.00475e-24 4.75072e-08 1.19646e-06
1.93070e+03 8.66632e-07 4.31486e-07 3.58982e-22 5.37198e-08 1.35184e-06
1.73020e+03 9.78996e-07 4.87738e-07 2.01978e-20 6.07640e-08 1.52750e-06
1.55052e+03 1.10594e-06 5.51430e-07 7.48658e-19 6.87599e-08 1.72613e-06
1.38950e+03 1.24937e-06 6.23588e-07 1.90919e-17 7.78458e-08 1.95080e-06
1.24520e+03 1.41144e-06 7.05392e-07 3.48242e-16 8.81832e-08 2.20501e-06
1.11588e+03 1.59459e-06 7.98218e-07 4.70452e-15 9.99669e-08 2.49278e-06
1.00000e+03 1.80165e-06 9.03687e-07 4.85641e-14 1.13433e-07 2.81877e-06
8.96151e+02 2.03586e-06 1.02374e-06 3.93953e-13 1.28874e-07 3.18847e-06
8.03086e+02 2.30101e-06 1.16074e-06 2.57515e-12 1.46666e-07 3.60842e-06
7.19686e+02 2.60159e-06 1.31763e-06 1.38729e-11 1.67296e-07 4.08654e-06
6.44947e+02 2.94299e-06 1.49817e-06 6.28501e-11 1.91421e-07 4.63264e-06
5.77969e+02 3.33169e-06 1.70723e-06 2.43825e-10 2.19924e-07 5.25908e-06
5.17947e+02 3.77564e-06 1.95127e-06 8.23266e-10 2.53978e-07 5.98171e-06
4.64159e+02 4.28455e-06 2.23892e-06 2.45481e-09 2.95087e-07 6.82101e-06
4.15956e+02 4.87047e-06 2.58224e-06 6.54922e-09 3.45064e-07 7.80433e-06
3.72759e+02 5.54746e-06 2.99579e-06 1.58181e-08 4.05900e-07 8.96496e-06
3.34048e+02 6.33245e-06 3.49900e-06 3.49535e-08 4.79517e-07 1.03459e-05
2.99358e+02 7.24585e-06 4.11513e-06 7.13363e-08 5.67412e-07 1.19997e-05
2.68270e+02 8.30775e-06 4.87073e-06 1.35616e-07 6.70269e-07 1.39844e-05
2.40410e+02 9.54199e-06 5.79415e-06 2.42003e-07 7.87620e-07 1.63658e-05
2.15443e+02 1.09731e-05 6.91340e-06 4.08159e-07 9.17653e-07 1.92123e-05
1.93070e+02 1.26265e-05 8.25353e-06 6.54685e-07 1.05722e-06 2.25919e-05
1.73020e+02 1.45290e-05 9.83400e-06 1.00429e-06 1.20207e-06 2.65693e-05
1.55052e+02 1.67095e-05 1.16666e-05 1.48081e-06 1.34723e-06 3.12041e-05
1.38950e+02 1.92004e-05 1.37540e-05 2.10831e-06 1.48749e-06 3.65502e-05
1.24520e+02 2.20400e-05 1.60928e-05 2.91038e-06 1.61788e-06 4.26610e-05
1.11588e+02 2.52747e-05 1.86605e-05 3.90984e-06 1.73407e-06 4.95791e-05
1.00000e+02 2.89623e-05 2.14373e-05 5.15165e-06 1.83271e-06 5.73839e-05
8.96151e+01 3.31752e-05 2.43937e-05 6.61601e-06 1.91152e-06 6.60964e-05
8.03086e+01 3.80038e-05 2.74971e-05 8.34546e-06 1.96937e-06 7.58157e-05
7.19686e+01 4.35601e-05 3.07141e-05 1.03648e-05 2.00615e-06 8.66451e-05
6.44947e+01 4.99816e-05 3.40119e-05 1.27034e-05 2.02262e-06 9.87196e-05
5.77969e+01 5.74353e-05 3.73608e-05 1.53956e-05 2.02026e-06 1.12212e-04
5.17947e+01 6.61226e-05 4.07348e-05 1.84831e-05 2.00102e-06 1.27342e-04
4.64159e+01 7.62842e-05 4.41131e-05 2.20171e-05 1.96726e-06 1.44382e-04
4.15956e+01 8.82066e-05 4.74795e-05 2.60602e-05 1.92111e-06 1.63667e-04
3.72759e+01 1.02229e-04 5.08239e-05 3.06883e-05 1.86501e-06 1.85606e-04
3.34048e+01 1.18753e-04 5.41410e-05 3.59937e-05 1.80119e-06 2.10689e-04
