# d_f:2.7
# l:200
# g:100
# phi:0.2
# l_k:3.5
# ideal_br:True
# N_e:714
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 2.90115e-08 1.13532e-07 1.61283e-27 1.11122e-07 2.53665e-07
8.96151e+03 3.28661e-08 1.28482e-07 2.96827e-25 1.25633e-07 2.86981e-07
8.03086e+03 3.72749e-08 1.45569e-07 3.18197e-23 1.42207e-07 3.25051e-07
7.19686e+03 4.23331e-08 1.65159e-07 2.10161e-21 1.61199e-07 3.68691e-07
6.44947e+03 4.81550e-08 1.87691e-07 8.99337e-20 1.83031e-07 4.18878e-07
5.77969e+03 5.48775e-08 2.13693e-07 2.60852e-18 2.08220e-07 4.76790e-07
5.17947e+03 6.26642e-08 2.43792e-07 5.33975e-17 2.37365e-07 5.43820e-07
4.64159e+03 7.17113e-08 2.78736e-07 7.99906e-16 2.71187e-07 6.21634e-07
4.15956e+03 8.22536e-08 3.19417e-07 9.05845e-15 3.10535e-07 7.12205e-07
3.72759e+03 9.45728e-08 3.66895e-07 7.98380e-14 3.56415e-07 8.17883e-07
3.34048e+03 1.09008e-07 4.22435e-07 5.62137e-13 4.10017e-07 9.41460e-07
2.99358e+03 1.25970e-07 4.87543e-07 3.23680e-12 4.72735e-07 1.08625e-06
2.68270e+03 1.45959e-07 5.64016e-07 1.55648e-11 5.46202e-07 1.25619e-06
2.40410e+03 1.69589e-07 6.54002e-07 6.36940e-11 6.32306e-07 1.45596e-06
2.15443e+03 1.97623e-07 7.60064e-07 2.25587e-10 7.33187e-07 1.69110e-06
1.93070e+03 2.31012e-07 8.85253e-07 7.02046e-10 8.51194e-07 1.96816e-06
1.73020e+03 2.70944e-07 1.03318e-06 1.94606e-09 9.88767e-07 2.29483e-06
1.55052e+03 3.19049e-07 1.20803e-06 4.86389e-09 1.14823e-06 2.68017e-06
1.38950e+03 3.76958e-07 1.41461e-06 1.10817e-08 1.33147e-06 3.13411e-06
1.24520e+03 4.46862e-07 1.65816e-06 2.32431e-08 1.53959e-06 3.66786e-06
1.11588e+03 5.31323e-07 1.94424e-06 4.52782e-08 1.77252e-06 4.29337e-06
1.00000e+03 6.32801e-07 2.27840e-06 8.25746e-08 2.02870e-06 5.02247e-06
8.96151e+02 7.54393e-07 2.66580e-06 1.41994e-07 2.30493e-06 5.86711e-06
8.03086e+02 8.97049e-07 3.11139e-06 2.31719e-07 2.59642e-06 6.83658e-06
7.19686e+02 1.06296e-06 3.61744e-06 3.60942e-07 2.89704e-06 7.93838e-06
6.44947e+02 1.25306e-06 4.18630e-06 5.39475e-07 3.19970e-06 9.17853e-06
5.77969e+02 1.46741e-06 4.81833e-06 7.77350e-07 3.49687e-06 1.05600e-05
5.17947e+02 1.70526e-06 5.51269e-06 1.08449e-06 3.78109e-06 1.20835e-05
4.64159e+02 1.96508e-06 6.26705e-06 1.47052e-06 4.04548e-06 1.37481e-05
4.15956e+02 2.24479e-06 7.07824e-06 1.94477e-06 4.28405e-06 1.55518e-05
3.72759e+02 2.54209e-06 7.94249e-06 2.51645e-06 4.49202e-06 1.74930e-05
3.34048e+02 2.85484e-06 8.85575e-06 3.19500e-06 4.66590e-06 1.95715e-05
2.99358e+02 3.18158e-06 9.81349e-06 3.99057e-06 4.80313e-06 2.17888e-05
2.68270e+02 3.52198e-06 1.08131e-05 4.91463e-06 4.90371e-06 2.41534e-05
2.40410e+02 3.87744e-06 1.18507e-05 5.98070e-06 4.96744e-06 2.66763e-05
2.15443e+02 4.25157e-06 1.29239e-05 7.20501e-06 4.99561e-06 2.93761e-05
1.93070e+02 4.65071e-06 1.40296e-05 8.60741e-06 4.99067e-06 3.22784e-05
1.73020e+02 5.08439e-06 1.51665e-05 1.02122e-05 4.95460e-06 3.54177e-05
1.55052e+02 5.56576e-06 1.63336e-05 1.20489e-05 4.89083e-06 3.88390e-05
1.38950e+02 6.11210e-06 1.75343e-05 1.41534e-05 4.80274e-06 4.26026e-05
