# d_f:2.7
# l:100
# g:100
# phi:0.05
# l_k:3.5
# ideal_br:True
# N_e:8280
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 2.16734e-08 4.34876e-08 5.49327e-49 2.18150e-08 8.69760e-08
8.96151e+03 2.52829e-08 5.07595e-08 1.84111e-44 2.54777e-08 1.01520e-07
8.03086e+03 2.95264e-08 5.93175e-08 2.09338e-40 2.97928e-08 1.18637e-07
7.19686e+03 3.45175e-08 6.93948e-08 9.03434e-37 3.48798e-08 1.38792e-07
6.44947e+03 4.03905e-08 8.12681e-08 1.63651e-33 4.08813e-08 1.62540e-07
5.77969e+03 4.73041e-08 9.52651e-08 1.36168e-30 4.79665e-08 1.90536e-07
5.17947e+03 5.54460e-08 1.11776e-07 5.64225e-28 5.63380e-08 2.23560e-07
4.64159e+03 6.50384e-08 1.31263e-07 1.25169e-25 6.62367e-08 2.62538e-07
4.15956e+03 7.63440e-08 1.54277e-07 1.58634e-23 7.79511e-08 3.08572e-07
3.72759e+03 8.96744e-08 1.81474e-07 1.21732e-21 9.18263e-08 3.62975e-07
3.34048e+03 1.05399e-07 2.13637e-07 5.95875e-20 1.08276e-07 4.27312e-07
2.99358e+03 1.23956e-07 2.51700e-07 1.94958e-18 1.27802e-07 5.03457e-07
2.68270e+03 1.45866e-07 2.96783e-07 4.44575e-17 1.51002e-07 5.93651e-07
2.40410e+03 1.71750e-07 3.50228e-07 7.33610e-16 1.78606e-07 7.00585e-07
2.15443e+03 2.02346e-07 4.13652e-07 9.05968e-15 2.11496e-07 8.27494e-07
1.93070e+03 2.38537e-07 4.89003e-07 8.62948e-14 2.50746e-07 9.78287e-07
1.73020e+03 2.81382e-07 5.78640e-07 6.51360e-13 2.97673e-07 1.15770e-06
1.55052e+03 3.32154e-07 6.85433e-07 3.99162e-12 3.53889e-07 1.37148e-06
1.38950e+03 3.92395e-07 8.12888e-07 2.02959e-11 4.21381e-07 1.62669e-06
1.24520e+03 4.63985e-07 9.65317e-07 8.73097e-11 5.02586e-07 1.93198e-06
1.11588e+03 5.49235e-07 1.14805e-06 3.23374e-10 6.00468e-07 2.29807e-06
1.00000e+03 6.51007e-07 1.36768e-06 1.04748e-09 7.18547e-07 2.73828e-06
8.96151e+02 7.72905e-07 1.63238e-06 3.00951e-09 8.60838e-07 3.26913e-06
8.03086e+02 9.19427e-07 1.95214e-06 7.76678e-09 1.03163e-06 3.91097e-06
7.19686e+02 1.09581e-06 2.33895e-06 1.82098e-08 1.23508e-06 4.68805e-06
6.44947e+02 1.30864e-06 2.80676e-06 3.91843e-08 1.47462e-06 5.62920e-06
5.77969e+02 1.56566e-06 3.37117e-06 7.80973e-08 1.75224e-06 6.76716e-06
5.17947e+02 1.87355e-06 4.04879e-06 1.45361e-07 2.06781e-06 8.13551e-06
4.64159e+02 2.24043e-06 4.85627e-06 2.54546e-07 2.41860e-06 9.76985e-06
4.15956e+02 2.67331e-06 5.80915e-06 4.22164e-07 2.79903e-06 1.17036e-05
3.72759e+02 3.17794e-06 6.92068e-06 6.67112e-07 3.20085e-06 1.39666e-05
3.34048e+02 3.75837e-06 8.20079e-06 1.00988e-06 3.61365e-06 1.65827e-05
2.99358e+02 4.41677e-06 9.65516e-06 1.47168e-06 4.02565e-06 1.95693e-05
2.68270e+02 5.15363e-06 1.12849e-05 2.07370e-06 4.42459e-06 2.29368e-05
2.40410e+02 5.96839e-06 1.30866e-05 2.83658e-06 4.79870e-06 2.66902e-05
2.15443e+02 6.86040e-06 1.50523e-05 3.78030e-06 5.13750e-06 3.08305e-05
1.93070e+02 7.83022e-06 1.71706e-05 4.92440e-06 5.43191e-06 3.53571e-05
1.73020e+02 8.88110e-06 1.94271e-05 6.28865e-06 5.67670e-06 4.02735e-05
1.55052e+02 1.00206e-05 2.18113e-05 7.89397e-06 5.86752e-06 4.55934e-05
1.38950e+02 1.12619e-05 2.42953e-05 9.76366e-06 6.00289e-06 5.13237e-05
1.24520e+02 1.26258e-05 2.68671e-05 1.19585e-05 6.08350e-06 5.75349e-05
1.11588e+02 1.41414e-05 2.95104e-05 1.44458e-05 6.11185e-06 6.42094e-05
1.00000e+02 1.58482e-05 3.22109e-05 1.72963e-05 6.09189e-06 7.14473e-05
8.96151e+01 1.77968e-05 3.49552e-05 2.05581e-05 6.02892e-06 7.93391e-05
8.03086e+01 2.00504e-05 3.77338e-05 2.42899e-05 5.92761e-06 8.80017e-05
7.19686e+01 2.26867e-05 4.05393e-05 2.85635e-05 5.79412e-06 9.75836e-05
