# d_f:2.7
# l:100
# g:50
# phi:0.1
# l_k:3.5
# ideal_br:True
# N_e:4153
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 1.83219e-08 7.30761e-08 7.32437e-49 7.28673e-08 1.64265e-07
8.96151e+03 2.13079e-08 8.49828e-08 2.45482e-44 8.47373e-08 1.91028e-07
8.03086e+03 2.48152e-08 9.89669e-08 2.79118e-40 9.86775e-08 2.22460e-07
7.19686e+03 2.89372e-08 1.15401e-07 1.20458e-36 1.15059e-07 2.59397e-07
6.44947e+03 3.37846e-08 1.34725e-07 2.18202e-33 1.34320e-07 3.02830e-07
5.77969e+03 3.94884e-08 1.57459e-07 1.81557e-30 1.56975e-07 3.53922e-07
5.17947e+03 4.62034e-08 1.84222e-07 7.52300e-28 1.83643e-07 4.14069e-07
4.64159e+03 5.41132e-08 2.15739e-07 1.66893e-25 2.15043e-07 4.84895e-07
4.15956e+03 6.34352e-08 2.52874e-07 2.11512e-23 2.52029e-07 5.68339e-07
3.72759e+03 7.44277e-08 2.96649e-07 1.62309e-21 2.95615e-07 6.66691e-07
3.34048e+03 8.73970e-08 3.48273e-07 7.94500e-20 3.46990e-07 7.82660e-07
2.99358e+03 1.02708e-07 4.09185e-07 2.59944e-18 4.07582e-07 9.19475e-07
2.68270e+03 1.20794e-07 4.81086e-07 5.92766e-17 4.79059e-07 1.08094e-06
2.40410e+03 1.42174e-07 5.66004e-07 9.78147e-16 5.63402e-07 1.27158e-06
2.15443e+03 1.67468e-07 6.66344e-07 1.20796e-14 6.62944e-07 1.49676e-06
1.93070e+03 1.97417e-07 7.84967e-07 1.15060e-13 7.80449e-07 1.76283e-06
1.73020e+03 2.32915e-07 9.25281e-07 8.68479e-13 9.19171e-07 2.07737e-06
1.55052e+03 2.75044e-07 1.09135e-06 5.32216e-12 1.08293e-06 2.44933e-06
1.38950e+03 3.25119e-07 1.28800e-06 2.70612e-11 1.27620e-06 2.88936e-06
1.24520e+03 3.84754e-07 1.52104e-06 1.16413e-10 1.50417e-06 3.41008e-06
1.11588e+03 4.55950e-07 1.79736e-06 4.31165e-10 1.77275e-06 4.02649e-06
1.00000e+03 5.41202e-07 2.12519e-06 1.39664e-09 2.08849e-06 4.75627e-06
8.96151e+02 6.43802e-07 2.51427e-06 4.01268e-09 2.45833e-06 5.62041e-06
8.03086e+02 7.67530e-07 2.97600e-06 1.03557e-08 2.88908e-06 6.64296e-06
7.19686e+02 9.17293e-07 3.52348e-06 2.42797e-08 3.38662e-06 7.85167e-06
6.44947e+02 1.09885e-06 4.17124e-06 5.22458e-08 3.95491e-06 9.27725e-06
5.77969e+02 1.31983e-06 4.93487e-06 1.04130e-07 4.59490e-06 1.09537e-05
5.17947e+02 1.58584e-06 5.83020e-06 1.93815e-07 5.30355e-06 1.29134e-05
4.64159e+02 1.90459e-06 6.87353e-06 3.39395e-07 6.07325e-06 1.51908e-05
4.15956e+02 2.28252e-06 8.07598e-06 5.62885e-07 6.89176e-06 1.78131e-05
3.72759e+02 2.72485e-06 9.44882e-06 8.89483e-07 7.74274e-06 2.08059e-05
3.34048e+02 3.23489e-06 1.09987e-05 1.34651e-06 8.60672e-06 2.41868e-05
2.99358e+02 3.81368e-06 1.27280e-05 1.96224e-06 9.46253e-06 2.79664e-05
2.68270e+02 4.45985e-06 1.46353e-05 2.76493e-06 1.02888e-05 3.21488e-05
2.40410e+02 5.16972e-06 1.67152e-05 3.78211e-06 1.10651e-05 3.67321e-05
2.15443e+02 5.93782e-06 1.89592e-05 5.04040e-06 1.17737e-05 4.17111e-05
1.93070e+02 6.75767e-06 2.13571e-05 6.56587e-06 1.23997e-05 4.70804e-05
1.73020e+02 7.62286e-06 2.39042e-05 8.38487e-06 1.29321e-05 5.28440e-05
1.55052e+02 8.52829e-06 2.65747e-05 1.05253e-05 1.33622e-05 5.89905e-05
1.38950e+02 9.47167e-06 2.93673e-05 1.30593e-05 1.36889e-05 6.55871e-05
1.24520e+02 1.04550e-05 3.22701e-05 1.59443e-05 1.39106e-05 7.25800e-05
1.11588e+02 1.14859e-05 3.52760e-05 1.92610e-05 1.40300e-05 8.00528e-05
1.00000e+02 1.25794e-05 3.83757e-05 2.30618e-05 1.40534e-05 8.80703e-05
8.96151e+01 1.37591e-05 4.15655e-05 2.74105e-05 1.39858e-05 9.67209e-05
8.03086e+01 1.50584e-05 4.48416e-05 3.23865e-05 1.38365e-05 1.06123e-04
7.19686e+01 1.65219e-05 4.82019e-05 3.80846e-05 1.36148e-05 1.16423e-04
6.44947e+01 1.82068e-05 5.16457e-05 4.46206e-05 1.33307e-05 1.27804e-04
5.77969e+01 2.01837e-05 5.51739e-05 5.21331e-05 1.29939e-05 1.40485e-04
5.17947e+01 2.25391e-05 5.87880e-05 6.07884e-05 1.26141e-05 1.54730e-04
4.64159e+01 2.53762e-05 6.24942e-05 7.07874e-05 1.22006e-05 1.70858e-04
4.15956e+01 2.88179e-05 6.62958e-05 8.23655e-05 1.17620e-05 1.89241e-04
3.72759e+01 3.30092e-05 7.06967e-05 9.58016e-05 1.13059e-05 2.10813e-04
3.34048e+01 3.81204e-05 7.47023e-05 1.11427e-04 1.08388e-05 2.35088e-04
2.99358e+01 4.43515e-05 7.89677e-05 1.29630e-04 1.03663e-05 2.63316e-04
2.68270e+01 5.19369e-05 8.30826e-05 1.50870e-04 9.89345e-06 2.95783e-04
2.40410e+01 6.11516e-05 8.77087e-05 1.75918e-04 9.42488e-06 3.34203e-04
2.15443e+01 7.23178e-05 9.21659e-05 2.04884e-04 8.96485e-06 3.78332e-04
1.93070e+01 8.58140e-05 9.69784e-05 2.39083e-04 8.51738e-06 4.30393e-04
1.73020e+01 1.02085e-04 1.02099e-04 2.78946e-04 8.08508e-06 4.91215e-04
1.55052e+01 1.21652e-04 1.07202e-04 3.25858e-04 7.66905e-06 5.62382e-04
1.38950e+01 1.45132e-04 1.12440e-04 3.80987e-04 7.26871e-06 6.45827e-04
1.24520e+01 1.73246e-04 1.18111e-04 4.46209e-04 6.88231e-06 7.44448e-04
1.11588e+01 2.06848e-04 1.23955e-04 5.20872e-04 6.50807e-06 8.58183e-04
1.00000e+01 2.46941e-04 1.30090e-04 6.10851e-04 6.14526e-06 9.94027e-04
