# d_f:2.7
# l:50
# g:30
# phi:0.3
# l_k:3.5
# ideal_br:True
# N_e:306
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 4.45236e-08 1.47573e-07 5.32640e-92 1.22286e-07 3.14383e-07
8.96151e+03 5.02948e-08 1.66493e-07 5.93188e-83 1.37794e-07 3.54582e-07
8.03086e+03 5.68150e-08 1.87916e-07 7.59771e-75 1.55392e-07 4.00122e-07
7.19686e+03 6.41827e-08 2.12148e-07 1.40130e-67 1.75319e-07 4.51650e-07
6.44947e+03 7.25105e-08 2.39545e-07 4.55193e-61 1.97855e-07 5.09911e-07
5.77969e+03 8.19285e-08 2.70523e-07 3.11917e-55 2.23332e-07 5.75784e-07
5.17947e+03 9.25881e-08 3.05573e-07 5.29990e-50 2.52147e-07 6.50308e-07
4.64159e+03 1.04668e-07 3.45275e-07 2.58102e-45 2.84777e-07 7.34720e-07
4.15956e+03 1.18379e-07 3.90324e-07 4.10186e-41 3.21790e-07 8.30493e-07
3.72759e+03 1.33973e-07 4.41550e-07 2.38971e-37 3.63870e-07 9.39393e-07
3.34048e+03 1.51753e-07 4.99948e-07 5.66437e-34 4.11839e-07 1.06354e-06
2.99358e+03 1.72081e-07 5.66706e-07 5.99736e-31 4.66678e-07 1.20546e-06
2.68270e+03 1.95390e-07 6.43283e-07 3.08406e-28 5.29595e-07 1.36827e-06
2.40410e+03 2.22199e-07 7.31375e-07 8.30257e-26 6.02000e-07 1.55557e-06
2.15443e+03 2.53127e-07 8.33039e-07 1.25148e-23 6.85599e-07 1.77177e-06
1.93070e+03 2.88911e-07 9.50721e-07 1.12182e-21 7.82426e-07 2.02206e-06
1.73020e+03 3.30428e-07 1.08734e-06 6.31180e-20 8.94889e-07 2.31265e-06
1.55052e+03 3.78721e-07 1.24635e-06 2.33956e-18 1.02591e-06 2.65098e-06
1.38950e+03 4.35032e-07 1.43188e-06 5.96621e-17 1.17891e-06 3.04582e-06
1.24520e+03 5.00837e-07 1.64885e-06 1.08826e-15 1.35798e-06 3.50767e-06
1.11588e+03 5.77898e-07 1.90311e-06 1.47016e-14 1.56799e-06 4.04900e-06
1.00000e+03 6.68321e-07 2.20164e-06 1.51763e-13 1.81475e-06 4.68471e-06
8.96151e+02 7.74632e-07 2.55278e-06 1.23110e-12 2.10519e-06 5.43260e-06
8.03086e+02 8.99871e-07 2.96652e-06 8.04734e-12 2.44755e-06 6.31395e-06
7.19686e+02 1.04772e-06 3.45487e-06 4.33529e-11 2.85165e-06 7.35429e-06
6.44947e+02 1.22268e-06 4.03225e-06 1.96406e-10 3.32909e-06 8.58422e-06
5.77969e+02 1.43029e-06 4.71606e-06 7.61955e-10 3.89344e-06 1.00405e-05
5.17947e+02 1.67742e-06 5.52726e-06 2.57271e-09 4.56023e-06 1.17675e-05
4.64159e+02 1.97301e-06 6.49107e-06 7.67127e-09 5.34656e-06 1.38183e-05
4.15956e+02 2.32756e-06 7.63747e-06 2.04663e-08 6.27015e-06 1.62556e-05
3.72759e+02 2.75475e-06 9.00158e-06 4.94315e-08 7.34762e-06 1.91534e-05
3.34048e+02 3.27132e-06 1.06234e-05 1.09230e-07 8.59218e-06 2.25961e-05
2.99358e+02 3.89487e-06 1.25469e-05 2.22926e-07 1.00108e-05 2.66755e-05
2.68270e+02 4.64622e-06 1.48181e-05 4.23801e-07 1.16015e-05 3.14896e-05
2.40410e+02 5.54618e-06 1.74825e-05 7.56260e-07 1.33514e-05 3.71363e-05
2.15443e+02 6.61434e-06 2.05822e-05 1.27550e-06 1.52357e-05 4.37077e-05
1.93070e+02 7.86715e-06 2.41523e-05 2.04589e-06 1.72186e-05 5.12839e-05
1.73020e+02 9.31615e-06 2.82183e-05 3.13841e-06 1.92551e-05 5.99280e-05
1.55052e+02 1.09667e-05 3.28001e-05 4.62755e-06 2.12942e-05 6.96885e-05
1.38950e+02 1.28175e-05 3.78950e-05 6.62266e-06 2.32825e-05 8.06176e-05
1.24520e+02 1.48608e-05 4.34885e-05 9.14296e-06 2.51680e-05 9.26602e-05
1.11588e+02 1.70842e-05 4.95655e-05 1.22771e-05 2.69031e-05 1.05830e-04
1.00000e+02 1.94728e-05 5.60988e-05 1.60977e-05 2.84479e-05 1.20117e-04
8.96151e+01 2.20127e-05 6.30515e-05 2.06745e-05 2.97710e-05 1.35510e-04
8.03086e+01 2.46945e-05 7.03965e-05 2.60790e-05 3.08479e-05 1.52018e-04
7.19686e+01 2.75182e-05 7.80931e-05 3.23900e-05 3.16726e-05 1.69674e-04
6.44947e+01 3.04972e-05 8.61058e-05 3.96982e-05 3.22392e-05 1.88540e-04
5.77969e+01 3.36625e-05 9.44018e-05 4.81112e-05 3.25532e-05 2.08729e-04
5.17947e+01 3.70672e-05 1.03617e-04 5.77597e-05 3.26269e-05 2.31070e-04
4.64159e+01 4.07900e-05 1.12432e-04 6.88035e-05 3.24802e-05 2.54505e-04
4.15956e+01 4.49387e-05 1.21964e-04 8.14381e-05 3.21299e-05 2.80471e-04
3.72759e+01 4.96540e-05 1.31562e-04 9.62767e-05 3.16018e-05 3.09095e-04
3.34048e+01 5.51131e-05 1.41238e-04 1.13136e-04 3.09212e-05 3.40409e-04
2.99358e+01 6.15335e-05 1.51480e-04 1.32386e-04 3.01137e-05 3.75513e-04
2.68270e+01 6.91780e-05 1.61227e-04 1.54311e-04 2.91997e-05 4.13916e-04
2.40410e+01 7.83600e-05 1.71151e-04 1.79760e-04 2.82116e-05 4.57482e-04
2.15443e+01 8.94505e-05 1.81259e-04 2.09367e-04 2.71629e-05 5.07239e-04
1.93070e+01 1.02886e-04 1.91574e-04 2.43306e-04 2.60749e-05 5.63841e-04
1.73020e+01 1.19181e-04 2.02121e-04 2.82745e-04 2.49640e-05 6.29011e-04
1.55052e+01 1.38937e-04 2.12929e-04 3.28667e-04 2.38437e-05 7.04376e-04
1.38950e+01 1.62859e-04 2.24031e-04 3.82232e-04 2.27258e-05 7.91847e-04
1.24520e+01 1.91775e-04 2.35472e-04 4.44956e-04 2.16635e-05 8.93867e-04
1.11588e+01 2.26657e-04 2.47275e-04 5.18034e-04 2.05382e-05 1.01250e-03
1.00000e+01 2.68645e-04 2.59504e-04 6.03783e-04 1.94872e-05 1.15142e-03
