# d_f:2
# l:100
# g:100
# N_e:0
# l_k:1
# ideal_br:False
# 
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 1.27474e-07 2.56232e-07 3.59694e-48 1.28763e-07 5.12469e-07
8.96151e+03 1.50331e-07 3.02352e-07 1.20554e-43 1.52029e-07 6.04713e-07
8.03086e+03 1.77296e-07 3.56818e-07 1.37073e-39 1.79535e-07 7.13648e-07
7.19686e+03 2.09110e-07 4.21155e-07 5.91560e-36 2.12062e-07 8.42326e-07
6.44947e+03 2.46650e-07 4.97168e-07 1.07157e-32 2.50543e-07 9.94362e-07
5.77969e+03 2.90954e-07 5.87003e-07 8.91614e-30 2.96087e-07 1.17404e-06
5.17947e+03 3.43246e-07 6.93211e-07 3.69449e-27 3.50020e-07 1.38648e-06
4.64159e+03 4.04978e-07 8.18816e-07 8.19597e-25 4.13920e-07 1.63771e-06
4.15956e+03 4.77868e-07 9.67425e-07 1.03872e-22 4.89677e-07 1.93497e-06
3.72759e+03 5.63952e-07 1.14333e-06 7.97086e-21 5.79554e-07 2.28683e-06
3.34048e+03 6.65646e-07 1.35165e-06 3.90173e-19 6.86260e-07 2.70356e-06
2.99358e+03 7.85817e-07 1.59851e-06 1.27657e-17 8.13085e-07 3.19742e-06
2.68270e+03 9.27870e-07 1.89125e-06 2.91103e-16 9.63954e-07 3.78308e-06
2.40410e+03 1.09586e-06 2.23866e-06 4.80361e-15 1.14364e-06 4.47816e-06
2.15443e+03 1.29463e-06 2.65131e-06 5.93219e-14 1.35793e-06 5.30387e-06
1.93070e+03 1.52995e-06 3.14198e-06 5.65049e-13 1.61388e-06 6.28581e-06
1.73020e+03 1.80874e-06 3.72612e-06 4.26504e-12 1.92011e-06 7.45497e-06
1.55052e+03 2.13935e-06 4.42253e-06 2.61367e-11 2.28720e-06 8.84910e-06
1.38950e+03 2.53186e-06 5.25418e-06 1.32895e-10 2.72816e-06 1.05143e-05
1.24520e+03 2.99857e-06 6.24933e-06 5.71695e-10 3.25898e-06 1.25075e-05
1.11588e+03 3.55463e-06 7.44287e-06 2.11742e-09 3.89908e-06 1.48987e-05
1.00000e+03 4.21908e-06 8.87805e-06 6.85879e-09 4.67154e-06 1.77755e-05
8.96151e+02 5.01508e-06 1.06084e-05 1.97060e-08 5.60267e-06 2.12458e-05
8.03086e+02 5.97177e-06 1.26993e-05 5.08561e-08 6.72059e-06 2.54425e-05
7.19686e+02 7.12590e-06 1.52293e-05 1.19236e-07 8.05252e-06 3.05269e-05
6.44947e+02 8.51760e-06 1.82898e-05 2.56575e-07 9.62093e-06 3.66849e-05
5.77969e+02 1.01948e-05 2.19831e-05 5.11373e-07 1.14389e-05 4.41281e-05
5.17947e+02 1.22079e-05 2.64178e-05 9.51812e-07 1.35056e-05 5.30831e-05
4.64159e+02 1.46072e-05 3.17030e-05 1.66674e-06 1.58031e-05 6.37800e-05
4.15956e+02 1.74385e-05 3.79405e-05 2.76429e-06 1.82950e-05 7.64382e-05
3.72759e+02 2.07395e-05 4.52170e-05 4.36818e-06 2.09270e-05 9.12518e-05
3.34048e+02 2.45368e-05 5.35977e-05 6.61260e-06 2.36312e-05 1.08378e-04
2.99358e+02 2.88446e-05 6.31196e-05 9.63643e-06 2.63303e-05 1.27931e-04
2.68270e+02 3.36660e-05 7.38060e-05 1.35784e-05 2.89440e-05 1.49994e-04
2.40410e+02 3.89973e-05 8.56058e-05 1.85737e-05 3.13953e-05 1.74572e-04
2.15443e+02 4.48343e-05 9.84808e-05 2.48690e-05 3.36154e-05 2.01799e-04
1.93070e+02 5.11805e-05 1.12355e-04 3.23816e-05 3.55449e-05 2.31462e-04
1.73020e+02 5.80572e-05 1.27135e-04 4.13361e-05 3.71495e-05 2.63678e-04
1.55052e+02 6.55134e-05 1.42714e-04 5.18675e-05 3.84008e-05 2.98496e-04
1.38950e+02 7.36363e-05 1.58980e-04 6.41300e-05 3.92889e-05 3.36035e-04
1.24520e+02 8.25606e-05 1.75821e-04 7.82995e-05 3.98185e-05 3.76500e-04
1.11588e+02 9.24781e-05 1.93130e-04 9.45878e-05 4.00057e-05 4.20202e-04
1.00000e+02 1.03646e-04 2.10815e-04 1.13253e-04 3.98765e-05 4.67590e-04
8.96151e+01 1.16397e-04 2.28786e-04 1.34611e-04 3.94656e-05 5.19259e-04
8.03086e+01 1.31144e-04 2.46982e-04 1.59047e-04 3.88035e-05 5.75977e-04
7.19686e+01 1.48395e-04 2.66757e-04 1.87031e-04 3.79306e-05 6.40113e-04
6.44947e+01 1.68762e-04 2.86316e-04 2.19128e-04 3.68846e-05 7.11090e-04
5.77969e+01 1.92974e-04 3.05724e-04 2.56022e-04 3.57015e-05 7.90421e-04
5.17947e+01 2.21894e-04 3.24535e-04 2.99256e-04 3.44148e-05 8.80099e-04
4.64159e+01 2.56541e-04 3.44006e-04 3.48876e-04 3.30557e-05 9.82479e-04
4.15956e+01 2.98110e-04 3.64376e-04 4.06085e-04 3.16507e-05 1.10022e-03
3.72759e+01 3.48008e-04 3.83730e-04 4.72301e-04 3.02226e-05 1.23426e-03
3.34048e+01 4.07883e-04 4.03375e-04 5.49003e-04 2.87901e-05 1.38905e-03
2.99358e+01 4.79672e-04 4.23386e-04 6.38366e-04 2.73681e-05 1.56879e-03
2.68270e+01 5.65646e-04 4.43846e-04 7.43218e-04 2.59695e-05 1.77868e-03
2.40410e+01 6.68479e-04 4.64846e-04 8.65112e-04 2.46051e-05 2.02304e-03
2.15443e+01 7.91310e-04 4.86479e-04 1.00776e-03 2.32847e-05 2.30884e-03
1.93070e+01 9.37836e-04 5.08849e-04 1.17490e-03 2.20169e-05 2.64361e-03
1.73020e+01 1.11241e-03 5.32072e-04 1.37095e-03 2.08066e-05 3.03624e-03
1.55052e+01 1.32014e-03 5.56195e-04 1.60085e-03 1.96545e-05 3.49684e-03
1.38950e+01 1.56707e-03 5.81393e-04 1.87086e-03 1.85573e-05 4.03789e-03
