# d_f:2.7
# l:300
# g:100
# phi:0.2
# l_k:3.5
# ideal_br:True
# N_e:971
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 2.05772e-08 1.18430e-07 1.84836e-20 1.70642e-07 3.09650e-07
8.96151e+03 2.35133e-08 1.34986e-07 6.00262e-19 1.94045e-07 3.52544e-07
8.03086e+03 2.69271e-08 1.54159e-07 1.35972e-17 2.21054e-07 4.02140e-07
7.19686e+03 3.09072e-08 1.76413e-07 2.23035e-16 2.52277e-07 4.59597e-07
6.44947e+03 3.55597e-08 2.02292e-07 2.73966e-15 2.88420e-07 5.26271e-07
5.77969e+03 4.10120e-08 2.32436e-07 2.59707e-14 3.30295e-07 6.03742e-07
5.17947e+03 4.74173e-08 2.67595e-07 1.95189e-13 3.78830e-07 6.93842e-07
4.64159e+03 5.49612e-08 3.08649e-07 1.19155e-12 4.35084e-07 7.98696e-07
4.15956e+03 6.38698e-08 3.56630e-07 6.03771e-12 5.00254e-07 9.20761e-07
3.72759e+03 7.44208e-08 4.12744e-07 2.58932e-11 5.75673e-07 1.06286e-06
3.34048e+03 8.69592e-08 4.78398e-07 9.56374e-11 6.62796e-07 1.22825e-06
2.99358e+03 1.01916e-07 5.55229e-07 3.09025e-10 7.63158e-07 1.42061e-06
2.68270e+03 1.19831e-07 6.45126e-07 8.85896e-10 8.78294e-07 1.64414e-06
2.40410e+03 1.41412e-07 7.50239e-07 2.28175e-09 1.00960e-06 1.90353e-06
2.15443e+03 1.67541e-07 8.72973e-07 5.34027e-09 1.15814e-06 2.20400e-06
1.93070e+03 1.99124e-07 1.01593e-06 1.14732e-08 1.32442e-06 2.55094e-06
1.73020e+03 2.37340e-07 1.18204e-06 2.28346e-08 1.50812e-06 2.95034e-06
1.55052e+03 2.83409e-07 1.37361e-06 4.24481e-08 1.70796e-06 3.40744e-06
1.38950e+03 3.38829e-07 1.59325e-06 7.42485e-08 1.92155e-06 3.92788e-06
1.24520e+03 4.05335e-07 1.84300e-06 1.23018e-07 2.14545e-06 4.51680e-06
1.11588e+03 4.82408e-07 2.12433e-06 1.94222e-07 2.37531e-06 5.17627e-06
1.00000e+03 5.71305e-07 2.43800e-06 2.93784e-07 2.60618e-06 5.90926e-06
8.96151e+02 6.72200e-07 2.78391e-06 4.27828e-07 2.83284e-06 6.71677e-06
8.03086e+02 7.84820e-07 3.16142e-06 6.02466e-07 3.05014e-06 7.59885e-06
7.19686e+02 9.08454e-07 3.56908e-06 8.23657e-07 3.25335e-06 8.55454e-06
6.44947e+02 1.04200e-06 4.00502e-06 1.09716e-06 3.43840e-06 9.58257e-06
5.77969e+02 1.18406e-06 4.46711e-06 1.42862e-06 3.60203e-06 1.06818e-05
5.17947e+02 1.33307e-06 4.95325e-06 1.82375e-06 3.74189e-06 1.18520e-05
4.64159e+02 1.48748e-06 5.46155e-06 2.28859e-06 3.85649e-06 1.30941e-05
4.15956e+02 1.64591e-06 5.99050e-06 2.82989e-06 3.94517e-06 1.44115e-05
3.72759e+02 1.80742e-06 6.53911e-06 3.45548e-06 4.00759e-06 1.58096e-05
3.34048e+02 1.97172e-06 7.10696e-06 4.17477e-06 4.04549e-06 1.72989e-05
2.99358e+02 2.13942e-06 7.69415e-06 4.99919e-06 4.05893e-06 1.88917e-05
2.68270e+02 2.31232e-06 8.30128e-06 5.94272e-06 4.04978e-06 2.06061e-05
2.40410e+02 2.49362e-06 8.92932e-06 7.02244e-06 4.01975e-06 2.24651e-05
2.15443e+02 2.68827e-06 9.57951e-06 8.25908e-06 3.97079e-06 2.44977e-05
1.93070e+02 2.90311e-06 1.02533e-05 9.67773e-06 3.90498e-06 2.67391e-05
1.73020e+02 3.14722e-06 1.09521e-05 1.13086e-05 3.82441e-06 2.92323e-05
1.55052e+02 3.43212e-06 1.16773e-05 1.31877e-05 3.73125e-06 3.20283e-05
1.38950e+02 3.77208e-06 1.24312e-05 1.53587e-05 3.62766e-06 3.51896e-05
1.24520e+02 4.18445e-06 1.32147e-05 1.78728e-05 3.51562e-06 3.87875e-05
1.11588e+02 4.68999e-06 1.40325e-05 2.07908e-05 3.39703e-06 4.29103e-05
1.00000e+02 5.31337e-06 1.48800e-05 2.41532e-05 3.27356e-06 4.76201e-05
8.96151e+01 6.08370e-06 1.57624e-05 2.81157e-05 3.14670e-06 5.31085e-05
8.03086e+01 7.03520e-06 1.66810e-05 3.27408e-05 3.01786e-06 5.94749e-05
7.19686e+01 8.20804e-06 1.76380e-05 3.81736e-05 2.88842e-06 6.69080e-05
6.44947e+01 9.64930e-06 1.86361e-05 4.44544e-05 2.75977e-06 7.54996e-05
5.77969e+01 1.14142e-05 1.96790e-05 5.18495e-05 2.63315e-06 8.55759e-05
