# d_f:2.7
# l:50
# g:25
# phi:0.3
# l_k:3.5
# ideal_br:True
# N_e:375
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 3.70524e-08 1.47311e-07 5.68150e-92 1.46419e-07 3.30782e-07
8.96151e+03 4.18589e-08 1.66202e-07 6.32733e-83 1.64985e-07 3.73046e-07
8.03086e+03 4.72939e-08 1.87613e-07 8.10422e-75 1.86074e-07 4.20980e-07
7.19686e+03 5.34443e-08 2.11867e-07 1.49472e-67 2.09989e-07 4.75301e-07
6.44947e+03 6.04122e-08 2.39353e-07 4.85539e-61 2.37097e-07 5.36862e-07
5.77969e+03 6.83185e-08 2.70534e-07 3.32711e-55 2.67845e-07 6.06697e-07
5.17947e+03 7.73072e-08 3.05970e-07 5.65323e-50 3.02779e-07 6.86056e-07
4.64159e+03 8.75506e-08 3.46338e-07 2.75309e-45 3.42559e-07 7.76448e-07
4.15956e+03 9.92554e-08 3.92448e-07 4.37531e-41 3.87982e-07 8.79685e-07
3.72759e+03 1.12668e-07 4.45271e-07 2.54903e-37 4.40005e-07 9.97944e-07
3.34048e+03 1.28085e-07 5.05968e-07 6.04199e-34 4.99770e-07 1.13382e-06
2.99358e+03 1.45856e-07 5.75912e-07 6.39719e-31 5.68629e-07 1.29040e-06
2.68270e+03 1.66402e-07 6.56776e-07 3.28966e-28 6.48225e-07 1.47140e-06
2.40410e+03 1.90218e-07 7.50489e-07 8.85608e-26 7.40460e-07 1.68117e-06
2.15443e+03 2.17895e-07 8.59371e-07 1.33492e-23 8.47612e-07 1.92488e-06
1.93070e+03 2.50133e-07 9.86165e-07 1.19661e-21 9.72371e-07 2.20867e-06
1.73020e+03 2.87761e-07 1.13412e-06 6.73259e-20 1.11790e-06 2.53978e-06
1.55052e+03 3.31767e-07 1.30708e-06 2.49553e-18 1.28800e-06 2.92684e-06
1.38950e+03 3.83321e-07 1.50960e-06 6.36395e-17 1.48709e-06 3.38002e-06
1.24520e+03 4.43819e-07 1.74710e-06 1.16081e-15 1.72046e-06 3.91138e-06
1.11588e+03 5.14927e-07 2.02600e-06 1.56817e-14 1.99427e-06 4.53520e-06
1.00000e+03 5.98637e-07 2.35393e-06 1.61880e-13 2.31587e-06 5.26844e-06
8.96151e+02 6.97342e-07 2.73996e-06 1.31318e-12 2.69391e-06 6.13121e-06
8.03086e+02 8.13926e-07 3.19490e-06 8.58383e-12 3.13857e-06 7.14740e-06
7.19686e+02 9.51892e-07 3.73163e-06 4.62431e-11 3.66176e-06 8.34533e-06
6.44947e+02 1.11552e-06 4.36555e-06 2.09500e-10 4.27738e-06 9.75865e-06
5.77969e+02 1.31010e-06 5.11501e-06 8.12752e-10 5.00138e-06 1.14273e-05
5.17947e+02 1.54220e-06 6.00193e-06 2.74422e-09 5.85166e-06 1.33985e-05
4.64159e+02 1.82040e-06 7.05235e-06 8.18269e-09 6.84752e-06 1.57285e-05
4.15956e+02 2.15479e-06 8.29690e-06 2.18307e-08 8.00845e-06 1.84820e-05
3.72759e+02 2.55855e-06 9.77097e-06 5.27270e-08 9.35216e-06 2.17344e-05
3.34048e+02 3.04792e-06 1.15144e-05 1.16512e-07 1.08919e-05 2.55708e-05
2.99358e+02 3.63982e-06 1.35704e-05 2.37788e-07 1.26335e-05 3.00815e-05
2.68270e+02 4.35447e-06 1.59839e-05 4.52055e-07 1.45721e-05 3.53625e-05
2.40410e+02 5.21210e-06 1.87983e-05 8.06678e-07 1.66907e-05 4.15078e-05
2.15443e+02 6.23175e-06 2.20572e-05 1.36053e-06 1.89588e-05 4.86083e-05
1.93070e+02 7.42944e-06 2.57857e-05 2.18228e-06 2.13338e-05 5.67313e-05
1.73020e+02 8.81640e-06 3.00094e-05 3.34763e-06 2.37633e-05 6.59367e-05
1.55052e+02 1.03977e-05 3.47450e-05 4.93605e-06 2.61886e-05 7.62673e-05
1.38950e+02 1.21716e-05 3.99819e-05 7.06867e-06 2.85491e-05 8.77712e-05
1.24520e+02 1.41298e-05 4.57124e-05 9.75249e-06 3.07860e-05 1.00381e-04
1.11588e+02 1.62580e-05 5.19153e-05 1.30956e-05 3.28465e-05 1.14115e-04
1.00000e+02 1.85388e-05 5.85631e-05 1.71709e-05 3.46857e-05 1.28959e-04
8.96151e+01 2.09536e-05 6.56243e-05 2.20528e-05 3.62690e-05 1.44900e-04
8.03086e+01 2.34865e-05 7.30662e-05 2.78176e-05 3.75685e-05 1.61939e-04
7.19686e+01 2.61283e-05 8.08530e-05 3.45493e-05 3.85782e-05 1.80109e-04
6.44947e+01 2.88805e-05 8.89650e-05 4.23447e-05 3.92904e-05 1.99481e-04
5.77969e+01 3.17596e-05 9.73722e-05 5.13186e-05 3.97102e-05 2.20161e-04
5.17947e+01 3.48013e-05 1.06763e-04 6.16103e-05 3.98533e-05 2.43028e-04
