# d_f:2.7
# l:100
# g:50
# phi:0.3
# l_k:3.5
# ideal_br:True
# N_e:309
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 3.99644e-08 1.57246e-07 7.32437e-49 1.54708e-07 3.51918e-07
8.96151e+03 4.51480e-08 1.77458e-07 2.45482e-44 1.74419e-07 3.97025e-07
8.03086e+03 5.10066e-08 2.00270e-07 2.79118e-40 1.96634e-07 4.47911e-07
7.19686e+03 5.76309e-08 2.26025e-07 1.20458e-36 2.21683e-07 5.05339e-07
6.44947e+03 6.51258e-08 2.55125e-07 2.18202e-33 2.49946e-07 5.70196e-07
5.77969e+03 7.36146e-08 2.88032e-07 1.81557e-30 2.81865e-07 6.43511e-07
5.17947e+03 8.32429e-08 3.25317e-07 7.52300e-28 3.17988e-07 7.26548e-07
4.64159e+03 9.41843e-08 3.67632e-07 1.66893e-25 3.58940e-07 8.20757e-07
4.15956e+03 1.06647e-07 4.15775e-07 2.11512e-23 4.05491e-07 9.27913e-07
3.72759e+03 1.20880e-07 4.70706e-07 1.62309e-21 4.58562e-07 1.05015e-06
3.34048e+03 1.37186e-07 5.33576e-07 7.94500e-20 5.19252e-07 1.19001e-06
2.99358e+03 1.55924e-07 6.05770e-07 2.59944e-18 5.88918e-07 1.35061e-06
2.68270e+03 1.77530e-07 6.88947e-07 5.92766e-17 6.69141e-07 1.53562e-06
2.40410e+03 2.02525e-07 7.85088e-07 9.78147e-16 7.61826e-07 1.74944e-06
2.15443e+03 2.31532e-07 8.96566e-07 1.20796e-14 8.69237e-07 1.99733e-06
1.93070e+03 2.65304e-07 1.02620e-06 1.15060e-13 9.94044e-07 2.28555e-06
1.73020e+03 3.04744e-07 1.17737e-06 8.68479e-13 1.13943e-06 2.62154e-06
1.55052e+03 3.50943e-07 1.35409e-06 5.32216e-12 1.30912e-06 3.01416e-06
1.38950e+03 4.05230e-07 1.56115e-06 2.70612e-11 1.50750e-06 3.47391e-06
1.24520e+03 4.69232e-07 1.80429e-06 1.16413e-10 1.73967e-06 4.01330e-06
1.11588e+03 5.44959e-07 2.09034e-06 4.31165e-10 2.01143e-06 4.64716e-06
1.00000e+03 6.34921e-07 2.42745e-06 1.39664e-09 2.32927e-06 5.39305e-06
8.96151e+02 7.42417e-07 2.82532e-06 4.01268e-09 2.70005e-06 6.27179e-06
8.03086e+02 8.71237e-07 3.29525e-06 1.03557e-08 3.13051e-06 7.30734e-06
7.19686e+02 1.02629e-06 3.85025e-06 2.42797e-08 3.62650e-06 8.52732e-06
6.44947e+02 1.21334e-06 4.50481e-06 5.22458e-08 4.19200e-06 9.96239e-06
5.77969e+02 1.44001e-06 5.27445e-06 1.04130e-07 4.82796e-06 1.16465e-05
5.17947e+02 1.71191e-06 6.17496e-06 1.93815e-07 5.53140e-06 1.36121e-05
4.64159e+02 2.03670e-06 7.22140e-06 3.39395e-07 6.29481e-06 1.58923e-05
4.15956e+02 2.42084e-06 8.42854e-06 5.62885e-07 7.10607e-06 1.85183e-05
3.72759e+02 2.86949e-06 9.80403e-06 8.89483e-07 7.94896e-06 2.15120e-05
3.34048e+02 3.38595e-06 1.13558e-05 1.34651e-06 8.80417e-06 2.48924e-05
2.99358e+02 3.97123e-06 1.30862e-05 1.96224e-06 9.65066e-06 2.86704e-05
2.68270e+02 4.62392e-06 1.49941e-05 2.76493e-06 1.04672e-05 3.28501e-05
2.40410e+02 5.34035e-06 1.70741e-05 3.78211e-06 1.12335e-05 3.74301e-05
2.15443e+02 6.11506e-06 1.93178e-05 5.04040e-06 1.19320e-05 4.24052e-05
1.93070e+02 6.94163e-06 2.17151e-05 6.56587e-06 1.25478e-05 4.77704e-05
1.73020e+02 7.81375e-06 2.42615e-05 8.38487e-06 1.30700e-05 5.35301e-05
1.55052e+02 8.72653e-06 2.69311e-05 1.05253e-05 1.34901e-05 5.96730e-05
1.38950e+02 9.67789e-06 2.97227e-05 1.30593e-05 1.38069e-05 6.62669e-05
1.24520e+02 1.06701e-05 3.26245e-05 1.59443e-05 1.40190e-05 7.32580e-05
1.11588e+02 1.17113e-05 3.56292e-05 1.92610e-05 1.41291e-05 8.07306e-05
1.00000e+02 1.28167e-05 3.87276e-05 2.30618e-05 1.41436e-05 8.87496e-05
8.96151e+01 1.40104e-05 4.19156e-05 2.74105e-05 1.40674e-05 9.74039e-05
8.03086e+01 1.53262e-05 4.51894e-05 3.23865e-05 1.39100e-05 1.06812e-04
7.19686e+01 1.68091e-05 4.85469e-05 3.80846e-05 1.36808e-05 1.17121e-04
6.44947e+01 1.85166e-05 5.19872e-05 4.46206e-05 1.33896e-05 1.28514e-04
5.77969e+01 2.05197e-05 5.55111e-05 5.21331e-05 1.30462e-05 1.41210e-04
5.17947e+01 2.29049e-05 5.91203e-05 6.07884e-05 1.26603e-05 1.55474e-04
4.64159e+01 2.57758e-05 6.28207e-05 7.07874e-05 1.22414e-05 1.71625e-04
4.15956e+01 2.92554e-05 6.66158e-05 8.23655e-05 1.17978e-05 1.90035e-04
3.72759e+01 3.34887e-05 7.10095e-05 9.58016e-05 1.13372e-05 2.11637e-04
3.34048e+01 3.86461e-05 7.50072e-05 1.11427e-04 1.08661e-05 2.35946e-04
2.99358e+01 4.49278e-05 7.92643e-05 1.29630e-04 1.03900e-05 2.64212e-04
2.68270e+01 5.25680e-05 8.33702e-05 1.50870e-04 9.91399e-06 2.96722e-04
2.40410e+01 6.18417e-05 8.79870e-05 1.75918e-04 9.44264e-06 3.35189e-04
2.15443e+01 7.30712e-05 9.24346e-05 2.04884e-04 8.98016e-06 3.79370e-04
1.93070e+01 8.66351e-05 9.72373e-05 2.39083e-04 8.53056e-06 4.31486e-04
1.73020e+01 1.02978e-04 1.02348e-04 2.78946e-04 8.09640e-06 4.92369e-04
1.55052e+01 1.22622e-04 1.07441e-04 3.25858e-04 7.67877e-06 5.63600e-04
1.38950e+01 1.46182e-04 1.12669e-04 3.80987e-04 7.27703e-06 6.47115e-04
1.24520e+01 1.74381e-04 1.18330e-04 4.46209e-04 6.88944e-06 7.45810e-04
1.11588e+01 2.08073e-04 1.24164e-04 5.20872e-04 6.51415e-06 8.59624e-04
1.00000e+01 2.48261e-04 1.30290e-04 6.10851e-04 6.15044e-06 9.95552e-04
