# d_f:2.7
# l:200
# g:30
# phi:0.1
# l_k:3.5
# ideal_br:True
# N_e:22858
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 1.01434e-08 1.28951e-07 2.10369e-27 4.10475e-07 5.49569e-07
8.96151e+03 1.19630e-08 1.51264e-07 3.87165e-25 4.79053e-07 6.42280e-07
8.03086e+03 1.41139e-08 1.77375e-07 4.15040e-23 5.58574e-07 7.50063e-07
7.19686e+03 1.66570e-08 2.07910e-07 2.74123e-21 6.50642e-07 8.75210e-07
6.44947e+03 1.96652e-08 2.43592e-07 1.17305e-19 7.57005e-07 1.02026e-06
5.77969e+03 2.32257e-08 2.85249e-07 3.40241e-18 8.79692e-07 1.18817e-06
5.17947e+03 2.74425e-08 3.33833e-07 6.96489e-17 1.02084e-06 1.38211e-06
4.64159e+03 3.24402e-08 3.90429e-07 1.04336e-15 1.18279e-06 1.60566e-06
4.15956e+03 3.83683e-08 4.56275e-07 1.18154e-14 1.36810e-06 1.86275e-06
3.72759e+03 4.54073e-08 5.32776e-07 1.04136e-13 1.57947e-06 2.15766e-06
3.34048e+03 5.37755e-08 6.21520e-07 7.33222e-13 1.81975e-06 2.49505e-06
2.99358e+03 6.37389e-08 7.24294e-07 4.22191e-12 2.09187e-06 2.87990e-06
2.68270e+03 7.56239e-08 8.43100e-07 2.03019e-11 2.39880e-06 3.31754e-06
2.40410e+03 8.98352e-08 9.80171e-07 8.30791e-11 2.74347e-06 3.81356e-06
2.15443e+03 1.06879e-07 1.13799e-06 2.94244e-10 3.12864e-06 4.37380e-06
1.93070e+03 1.27392e-07 1.31927e-06 9.15712e-10 3.55667e-06 5.00425e-06
1.73020e+03 1.52175e-07 1.52700e-06 2.53834e-09 4.02934e-06 5.71106e-06
1.55052e+03 1.82375e-07 1.76436e-06 6.34420e-09 4.54745e-06 6.50053e-06
1.38950e+03 2.19072e-07 2.03469e-06 1.44543e-08 5.11038e-06 7.37859e-06
1.24520e+03 2.63804e-07 2.34136e-06 3.03170e-08 5.71563e-06 8.35111e-06
1.11588e+03 3.18222e-07 2.68761e-06 5.90586e-08 6.35850e-06 9.42339e-06
1.00000e+03 3.85105e-07 3.07635e-06 1.07706e-07 7.03181e-06 1.06010e-05
8.96151e+02 4.64710e-07 3.50993e-06 1.85210e-07 7.72603e-06 1.18859e-05
8.03086e+02 5.59203e-07 3.98989e-06 3.02242e-07 8.42965e-06 1.32810e-05
7.19686e+02 6.69778e-07 4.51658e-06 4.70793e-07 9.12975e-06 1.47869e-05
6.44947e+02 7.97131e-07 5.08990e-06 7.03663e-07 9.81288e-06 1.64036e-05
5.77969e+02 9.41354e-07 5.70797e-06 1.01393e-06 1.04659e-05 1.81292e-05
5.17947e+02 1.10190e-06 6.36819e-06 1.41455e-06 1.10769e-05 1.99616e-05
4.64159e+02 1.27761e-06 7.06708e-06 1.91807e-06 1.16357e-05 2.18985e-05
4.15956e+02 1.46675e-06 7.80063e-06 2.53666e-06 1.21345e-05 2.39385e-05
3.72759e+02 1.66718e-06 8.56462e-06 3.28233e-06 1.25680e-05 2.60821e-05
3.34048e+02 1.87641e-06 9.35504e-06 4.16739e-06 1.29332e-05 2.83321e-05
2.99358e+02 2.09183e-06 1.01684e-05 5.20509e-06 1.32298e-05 3.06952e-05
2.68270e+02 2.31079e-06 1.10023e-05 6.41039e-06 1.34590e-05 3.31825e-05
2.40410e+02 2.53074e-06 1.18553e-05 7.80091e-06 1.36238e-05 3.58107e-05
2.15443e+02 2.74938e-06 1.27277e-05 9.39784e-06 1.37281e-05 3.86031e-05
1.93070e+02 2.96476e-06 1.36217e-05 1.12271e-05 1.37767e-05 4.15902e-05
1.73020e+02 3.17546e-06 1.45410e-05 1.33202e-05 1.37745e-05 4.48112e-05
1.55052e+02 3.38079e-06 1.54968e-05 1.57159e-05 1.37261e-05 4.83196e-05
1.38950e+02 3.58101e-06 1.64857e-05 1.84610e-05 1.36359e-05 5.21635e-05
1.24520e+02 3.77775e-06 1.75221e-05 2.16119e-05 1.35079e-05 5.64196e-05
1.11588e+02 3.97437e-06 1.86160e-05 2.52640e-05 1.33452e-05 6.11995e-05
1.00000e+02 4.17646e-06 1.97772e-05 2.94439e-05 1.31519e-05 6.65495e-05
8.96151e+01 4.39242e-06 2.10194e-05 3.42764e-05 1.29302e-05 7.26183e-05
8.03086e+01 4.63404e-06 2.23507e-05 3.98763e-05 1.26825e-05 7.95435e-05
7.19686e+01 4.91713e-06 2.37822e-05 4.62830e-05 1.24111e-05 8.73934e-05
6.44947e+01 5.26214e-06 2.53227e-05 5.38636e-05 1.21180e-05 9.65665e-05
5.77969e+01 5.69490e-06 2.69803e-05 6.27066e-05 1.18050e-05 1.07187e-04
5.17947e+01 6.24727e-06 2.87642e-05 7.30600e-05 1.14908e-05 1.19562e-04
4.64159e+01 6.95803e-06 3.06732e-05 8.50914e-05 1.11298e-05 1.33852e-04
4.15956e+01 7.87375e-06 3.27213e-05 9.91974e-05 1.07745e-05 1.50567e-04
3.72759e+01 9.04989e-06 3.49121e-05 1.15726e-04 1.04123e-05 1.70100e-04
3.34048e+01 1.05521e-05 3.72512e-05 1.35131e-04 1.00464e-05 1.92981e-04
2.99358e+01 1.24578e-05 3.97292e-05 1.57928e-04 9.67817e-06 2.19793e-04
2.68270e+01 1.48580e-05 4.23612e-05 1.84707e-04 9.30741e-06 2.51233e-04
2.40410e+01 1.78596e-05 4.51483e-05 2.16065e-04 8.93300e-06 2.88006e-04
2.15443e+01 2.15882e-05 4.80944e-05 2.52958e-04 8.55423e-06 3.31194e-04
1.93070e+01 2.61913e-05 5.12040e-05 2.96281e-04 8.17238e-06 3.81849e-04
1.73020e+01 3.18422e-05 5.46296e-05 3.47254e-04 7.79158e-06 4.41517e-04
1.55052e+01 3.87445e-05 5.81185e-05 4.07197e-04 7.41865e-06 5.11478e-04
1.38950e+01 4.71378e-05 6.17081e-05 4.77933e-04 7.06146e-06 5.93840e-04
1.24520e+01 5.73043e-05 6.55675e-05 5.62073e-04 6.72738e-06 6.91673e-04
1.11588e+01 6.95760e-05 6.95874e-05 6.59187e-04 6.42076e-06 8.04771e-04
1.00000e+01 8.43444e-05 7.38671e-05 7.74734e-04 6.14202e-06 9.39087e-04
1.73020e+04 4.44877e-09 5.77065e-08 2.55322e-43 1.87227e-07 2.49382e-07
1.55052e+04 5.24829e-09 6.78578e-08 2.10124e-39 2.19480e-07 2.92586e-07
1.38950e+04 6.18854e-09 7.97297e-08 6.78771e-36 2.56999e-07 3.42918e-07
1.24520e+04 7.29592e-09 9.36255e-08 9.48442e-33 3.00656e-07 4.01578e-07
1.11588e+04 8.60170e-09 1.09894e-07 6.25372e-30 3.51433e-07 4.69929e-07
