# d_f:2.5
# l:300
# g:100
# N_e:0
# l_k:1
# ideal_br:False
# 
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 9.44241e-07 5.28763e-06 5.33640e-19 7.42621e-06 1.36581e-05
8.96151e+03 1.07777e-06 6.00248e-06 1.71910e-17 8.38891e-06 1.54692e-05
8.03086e+03 1.23029e-06 6.81168e-06 3.86478e-16 9.47005e-06 1.75120e-05
7.19686e+03 1.40454e-06 7.72720e-06 6.29469e-15 1.06829e-05 1.98147e-05
6.44947e+03 1.60366e-06 8.76242e-06 7.68109e-14 1.20420e-05 2.24081e-05
5.77969e+03 1.83127e-06 9.93228e-06 7.23658e-13 1.35630e-05 2.53266e-05
5.17947e+03 2.09151e-06 1.12534e-05 5.40777e-12 1.52635e-05 2.86084e-05
4.64159e+03 2.38919e-06 1.27443e-05 3.28380e-11 1.71603e-05 3.22938e-05
4.15956e+03 2.72986e-06 1.44253e-05 1.65586e-10 1.92757e-05 3.64311e-05
3.72759e+03 3.11993e-06 1.63178e-05 7.06970e-10 2.16295e-05 4.10679e-05
3.34048e+03 3.56687e-06 1.84489e-05 2.60065e-09 2.42432e-05 4.62616e-05
2.99358e+03 4.07935e-06 2.08444e-05 8.37260e-09 2.71381e-05 5.20702e-05
2.68270e+03 4.66736e-06 2.35331e-05 2.39237e-08 3.03330e-05 5.85574e-05
2.40410e+03 5.34243e-06 2.65451e-05 6.14406e-08 3.38422e-05 6.57912e-05
2.15443e+03 6.11725e-06 2.99115e-05 1.43433e-07 3.76708e-05 7.38429e-05
1.93070e+03 7.00531e-06 3.36622e-05 3.07482e-07 4.18106e-05 8.27856e-05
1.73020e+03 8.02060e-06 3.78302e-05 6.10835e-07 4.62354e-05 9.26970e-05
1.55052e+03 9.17626e-06 4.24291e-05 1.13375e-06 5.08979e-05 1.03637e-04
1.38950e+03 1.04835e-05 4.74792e-05 1.98060e-06 5.57285e-05 1.15672e-04
1.24520e+03 1.19505e-05 5.29881e-05 3.27820e-06 6.06370e-05 1.28854e-04
1.11588e+03 1.35808e-05 5.89537e-05 5.17150e-06 6.55171e-05 1.43223e-04
1.00000e+03 1.53728e-05 6.53637e-05 7.81746e-06 7.02533e-05 1.58807e-04
8.96151e+02 1.73197e-05 7.21969e-05 1.13782e-05 7.47286e-05 1.75623e-04
8.03086e+02 1.94086e-05 7.94252e-05 1.60149e-05 7.88322e-05 1.93681e-04
7.19686e+02 2.16225e-05 8.70160e-05 2.18832e-05 8.24666e-05 2.12988e-04
6.44947e+02 2.39404e-05 9.49357e-05 2.91310e-05 8.55476e-05 2.33555e-04
5.77969e+02 2.63404e-05 1.03147e-04 3.78993e-05 8.80263e-05 2.55413e-04
5.17947e+02 2.88011e-05 1.11639e-04 4.83248e-05 8.98613e-05 2.78626e-04
4.64159e+02 3.13057e-05 1.20385e-04 6.05446e-05 9.10366e-05 3.03272e-04
4.15956e+02 3.38458e-05 1.29375e-04 7.47034e-05 9.15552e-05 3.29479e-04
3.72759e+02 3.64253e-05 1.38603e-04 9.09598e-05 9.14366e-05 3.57424e-04
3.34048e+02 3.90660e-05 1.48069e-04 1.09495e-04 9.07140e-05 3.87344e-04
2.99358e+02 4.18117e-05 1.57779e-04 1.30521e-04 8.94326e-05 4.19544e-04
2.68270e+02 4.47328e-05 1.67758e-04 1.54287e-04 8.76485e-05 4.54427e-04
2.40410e+02 4.79304e-05 1.77941e-04 1.81091e-04 8.54116e-05 4.92375e-04
2.15443e+02 5.15387e-05 1.88350e-04 2.11323e-04 8.27875e-05 5.33999e-04
1.93070e+02 5.57273e-05 1.98967e-04 2.45315e-04 7.98400e-05 5.79849e-04
1.73020e+02 6.07024e-05 2.09770e-04 2.83583e-04 7.66310e-05 6.30686e-04
1.55052e+02 6.67077e-05 2.20729e-04 3.26694e-04 7.32264e-05 6.87358e-04
1.38950e+02 7.40250e-05 2.31811e-04 3.75096e-04 6.96825e-05 7.50614e-04
1.24520e+02 8.29748e-05 2.42981e-04 4.30192e-04 6.60544e-05 8.22202e-04
1.11588e+02 9.39179e-05 2.53892e-04 4.92204e-04 6.23911e-05 9.02405e-04
1.00000e+02 1.07257e-04 2.65187e-04 5.62339e-04 5.87348e-05 9.93519e-04
8.96151e+01 1.23442e-04 2.76496e-04 6.41711e-04 5.51211e-05 1.09677e-03
8.03086e+01 1.42970e-04 2.87810e-04 7.31645e-04 5.15818e-05 1.21401e-03
7.19686e+01 1.66398e-04 2.98928e-04 8.34162e-04 4.81446e-05 1.34763e-03
6.44947e+01 1.94343e-04 3.09958e-04 9.49415e-04 4.48352e-05 1.49855e-03
5.77969e+01 2.27498e-04 3.20898e-04 1.08112e-03 4.16740e-05 1.67119e-03
5.17947e+01 2.66638e-04 3.31743e-04 1.23077e-03 3.86738e-05 1.86783e-03
4.64159e+01 3.12636e-04 3.42494e-04 1.40093e-03 3.58379e-05 2.09190e-03
4.15956e+01 3.66477e-04 3.53155e-04 1.59442e-03 3.31612e-05 2.34722e-03
3.72759e+01 4.29273e-04 3.63734e-04 1.81580e-03 3.06331e-05 2.63944e-03
3.34048e+01 5.02285e-04 3.74243e-04 2.06499e-03 2.82433e-05 2.96977e-03
2.99358e+01 5.86947e-04 3.84773e-04 2.35013e-03 2.59865e-05 3.34784e-03
2.68270e+01 6.84886e-04 3.95181e-04 2.67490e-03 2.38655e-05 3.77884e-03
2.40410e+01 7.97954e-04 4.05571e-04 3.04491e-03 2.19000e-05 4.27034e-03
2.15443e+01 9.28263e-04 4.16014e-04 3.46662e-03 2.00731e-05 4.83097e-03
1.93070e+01 1.07822e-03 4.26402e-04 3.94723e-03 1.84234e-05 5.47028e-03
1.73020e+01 1.25056e-03 4.36847e-04 4.49458e-03 1.69420e-05 6.19893e-03
1.55052e+01 1.44842e-03 4.47365e-04 5.11915e-03 1.56194e-05 7.03055e-03
1.38950e+01 1.67536e-03 4.57943e-04 5.83091e-03 1.44355e-05 7.97864e-03
1.24520e+01 1.93545e-03 4.68608e-04 6.64260e-03 1.33630e-05 9.06002e-03
1.11588e+01 2.23333e-03 4.79402e-04 7.56619e-03 1.23712e-05 1.02913e-02
1.00000e+01 2.57431e-03 4.90310e-04 8.62017e-03 1.14312e-05 1.16962e-02
