# d_f:2.7
# l:100
# g:100
# phi:0.3
# l_k:2
# ideal_br:True
# N_e:1108
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 8.10765e-08 1.61591e-07 1.27171e-48 8.05188e-08 3.23186e-07
8.96151e+03 9.18271e-08 1.83042e-07 4.26224e-44 9.12209e-08 3.66090e-07
8.03086e+03 1.04114e-07 2.07579e-07 4.84625e-40 1.03472e-07 4.15165e-07
7.19686e+03 1.18198e-07 2.35730e-07 2.09148e-36 1.17543e-07 4.71472e-07
6.44947e+03 1.34389e-07 2.68131e-07 3.78858e-33 1.33757e-07 5.36277e-07
5.77969e+03 1.53056e-07 3.05538e-07 3.15233e-30 1.52502e-07 6.11095e-07
5.17947e+03 1.74638e-07 3.48856e-07 1.30620e-27 1.74246e-07 6.97740e-07
4.64159e+03 1.99656e-07 3.99163e-07 2.89771e-25 1.99544e-07 7.98363e-07
4.15956e+03 2.28728e-07 4.57739e-07 3.67243e-23 2.29063e-07 9.15531e-07
3.72759e+03 2.62585e-07 5.26113e-07 2.81812e-21 2.63602e-07 1.05230e-06
3.34048e+03 3.02092e-07 6.06104e-07 1.37947e-19 3.04115e-07 1.21231e-06
2.99358e+03 3.48276e-07 6.99885e-07 4.51334e-18 3.51758e-07 1.39992e-06
2.68270e+03 4.02357e-07 8.10055e-07 1.02921e-16 4.07918e-07 1.62033e-06
2.40410e+03 4.65781e-07 9.39726e-07 1.69833e-15 4.74264e-07 1.87977e-06
2.15443e+03 5.40273e-07 1.09264e-06 2.09735e-14 5.52829e-07 2.18574e-06
1.93070e+03 6.27889e-07 1.27329e-06 1.99775e-13 6.46085e-07 2.54727e-06
1.73020e+03 7.31093e-07 1.48715e-06 1.50792e-12 7.57054e-07 2.97530e-06
1.55052e+03 8.52847e-07 1.74083e-06 9.24072e-12 8.89446e-07 3.48314e-06
1.38950e+03 9.96730e-07 2.04244e-06 4.69856e-11 1.04782e-06 4.08704e-06
1.24520e+03 1.16711e-06 2.40191e-06 2.02125e-10 1.23779e-06 4.80701e-06
1.11588e+03 1.36934e-06 2.83155e-06 7.48620e-10 1.46616e-06 5.66779e-06
1.00000e+03 1.61007e-06 3.34658e-06 2.42495e-09 1.74103e-06 6.70011e-06
8.96151e+02 1.89782e-06 3.96586e-06 6.96711e-09 2.07166e-06 7.94231e-06
8.03086e+02 2.24257e-06 4.71245e-06 1.79803e-08 2.46792e-06 9.44093e-06
7.19686e+02 2.65692e-06 5.61404e-06 4.21563e-08 2.93938e-06 1.12525e-05
6.44947e+02 3.15659e-06 6.70287e-06 9.07130e-08 3.49395e-06 1.34441e-05
5.77969e+02 3.75698e-06 8.01498e-06 1.80798e-07 4.13620e-06 1.60890e-05
5.17947e+02 4.47643e-06 9.58875e-06 3.36516e-07 4.86583e-06 1.92675e-05
4.64159e+02 5.33265e-06 1.14627e-05 5.89283e-07 5.67650e-06 2.30611e-05
4.15956e+02 6.34188e-06 1.36727e-05 9.77323e-07 6.55530e-06 2.75473e-05
3.72759e+02 7.51743e-06 1.62496e-05 1.54439e-06 7.48316e-06 3.27945e-05
3.34048e+02 8.86864e-06 1.92161e-05 2.33791e-06 8.43603e-06 3.88587e-05
2.99358e+02 1.04006e-05 2.25855e-05 3.40699e-06 9.38666e-06 4.57797e-05
2.68270e+02 1.21144e-05 2.63604e-05 4.80068e-06 1.03068e-05 5.35822e-05
2.40410e+02 1.40088e-05 3.05327e-05 6.56678e-06 1.11691e-05 6.22774e-05
2.15443e+02 1.60825e-05 3.50842e-05 8.75151e-06 1.19495e-05 7.18678e-05
1.93070e+02 1.83370e-05 3.99983e-05 1.14002e-05 1.26271e-05 8.23625e-05
1.73020e+02 2.07799e-05 4.52235e-05 1.45584e-05 1.31897e-05 9.37515e-05
1.55052e+02 2.34288e-05 5.07306e-05 1.83385e-05 1.36274e-05 1.06125e-04
1.38950e+02 2.63149e-05 5.64797e-05 2.26738e-05 1.39368e-05 1.19405e-04
1.24520e+02 2.94861e-05 6.24314e-05 2.76836e-05 1.41195e-05 1.33721e-04
1.11588e+02 3.30104e-05 6.85479e-05 3.34419e-05 1.41815e-05 1.49182e-04
1.00000e+02 3.69792e-05 7.47963e-05 4.00410e-05 1.41318e-05 1.65948e-04
8.96151e+01 4.15099e-05 8.11455e-05 4.75922e-05 1.39828e-05 1.84230e-04
8.03086e+01 4.67492e-05 8.75734e-05 5.62318e-05 1.37452e-05 2.04300e-04
7.19686e+01 5.28769e-05 9.40629e-05 6.61254e-05 1.34335e-05 2.26499e-04
6.44947e+01 6.01091e-05 1.00604e-04 7.74735e-05 1.30608e-05 2.51247e-04
5.77969e+01 6.87039e-05 1.07192e-04 9.05174e-05 1.26399e-05 2.79053e-04
5.17947e+01 7.89666e-05 1.13829e-04 1.05545e-04 1.21827e-05 3.10524e-04
4.64159e+01 9.12572e-05 1.21402e-04 1.22907e-04 1.17001e-05 3.47266e-04
4.15956e+01 1.05999e-04 1.28163e-04 1.43009e-04 1.12016e-05 3.88372e-04
3.72759e+01 1.23688e-04 1.35008e-04 1.66338e-04 1.06951e-05 4.35729e-04
3.34048e+01 1.44909e-04 1.42207e-04 1.93716e-04 1.01872e-05 4.91020e-04
2.99358e+01 1.70344e-04 1.49459e-04 2.25490e-04 9.68329e-06 5.54976e-04
