# d_f:2.7
# l:100
# g:100
# phi:0.2
# l_k:3.5
# ideal_br:True
# N_e:426
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 5.05677e-08 1.00355e-07 5.49327e-49 4.97936e-08 2.00716e-07
8.96151e+03 5.71243e-08 1.13333e-07 1.84111e-44 5.62166e-08 2.26674e-07
8.03086e+03 6.45329e-08 1.27995e-07 2.09338e-40 6.34723e-08 2.56000e-07
7.19686e+03 7.29062e-08 1.44566e-07 9.03434e-37 7.16723e-08 2.89144e-07
6.44947e+03 8.23741e-08 1.63303e-07 1.63651e-33 8.09458e-08 3.26623e-07
5.77969e+03 9.30871e-08 1.84508e-07 1.36168e-30 9.14428e-08 3.69038e-07
5.17947e+03 1.05222e-07 2.08543e-07 5.64225e-28 1.03348e-07 4.17112e-07
4.64159e+03 1.18988e-07 2.35826e-07 1.25169e-25 1.16873e-07 4.71686e-07
4.15956e+03 1.34634e-07 2.66868e-07 1.58634e-23 1.32280e-07 5.33781e-07
3.72759e+03 1.52458e-07 3.02285e-07 1.21732e-21 1.49886e-07 6.04629e-07
3.34048e+03 1.72821e-07 3.42820e-07 5.95875e-20 1.70076e-07 6.85717e-07
2.99358e+03 1.96152e-07 3.89374e-07 1.94958e-18 1.93327e-07 7.78853e-07
2.68270e+03 2.22970e-07 4.43038e-07 4.44575e-17 2.20214e-07 8.86222e-07
2.40410e+03 2.53896e-07 5.05132e-07 7.33610e-16 2.51436e-07 1.01046e-06
2.15443e+03 2.89674e-07 5.77250e-07 9.05968e-15 2.87855e-07 1.15478e-06
1.93070e+03 3.31196e-07 6.61325e-07 8.62948e-14 3.30518e-07 1.32304e-06
1.73020e+03 3.79533e-07 7.59699e-07 6.51360e-13 3.80715e-07 1.51995e-06
1.55052e+03 4.35974e-07 8.75222e-07 3.99162e-12 4.40025e-07 1.75122e-06
1.38950e+03 5.02077e-07 1.01138e-06 2.02959e-11 5.10399e-07 2.02387e-06
1.24520e+03 5.79739e-07 1.17245e-06 8.73097e-11 5.94231e-07 2.34651e-06
1.11588e+03 6.71292e-07 1.36372e-06 3.23374e-10 6.94437e-07 2.72978e-06
1.00000e+03 7.79613e-07 1.59176e-06 1.04748e-09 8.14486e-07 3.18691e-06
8.96151e+02 9.08274e-07 1.86466e-06 3.00951e-09 9.58337e-07 3.73428e-06
8.03086e+02 1.06193e-06 2.19236e-06 7.76678e-09 1.13022e-06 4.39228e-06
7.19686e+02 1.24569e-06 2.58676e-06 1.82098e-08 1.33425e-06 5.18492e-06
6.44947e+02 1.46618e-06 3.06177e-06 3.91843e-08 1.57381e-06 6.14094e-06
5.77969e+02 1.73115e-06 3.63289e-06 7.80973e-08 1.85085e-06 7.29300e-06
5.17947e+02 2.04728e-06 4.31668e-06 1.45361e-07 2.16524e-06 8.67457e-06
4.64159e+02 2.42266e-06 5.12974e-06 2.54546e-07 2.51424e-06 1.03212e-05
4.15956e+02 2.86428e-06 6.08756e-06 4.22164e-07 2.89228e-06 1.22663e-05
3.72759e+02 3.37790e-06 7.20337e-06 6.67112e-07 3.29115e-06 1.45395e-05
3.34048e+02 3.96754e-06 8.48709e-06 1.00988e-06 3.70048e-06 1.71650e-05
2.99358e+02 4.63540e-06 9.94441e-06 1.47168e-06 4.10855e-06 2.01600e-05
2.68270e+02 5.38201e-06 1.15765e-05 2.07370e-06 4.50318e-06 2.35354e-05
2.40410e+02 6.20691e-06 1.33797e-05 2.83658e-06 4.87268e-06 2.72959e-05
2.15443e+02 7.10959e-06 1.53464e-05 3.78030e-06 5.20663e-06 3.14429e-05
1.93070e+02 8.09080e-06 1.74649e-05 4.92440e-06 5.49606e-06 3.59762e-05
1.73020e+02 9.15404e-06 1.97210e-05 6.28865e-06 5.73580e-06 4.08995e-05
1.55052e+02 1.03071e-05 2.21041e-05 7.89397e-06 5.92160e-06 4.62267e-05
1.38950e+02 1.15636e-05 2.45861e-05 9.76366e-06 6.05206e-06 5.19653e-05
1.24520e+02 1.29444e-05 2.71551e-05 1.19585e-05 6.12791e-06 5.81859e-05
1.11588e+02 1.44792e-05 2.97949e-05 1.44458e-05 6.15171e-06 6.48715e-05
1.00000e+02 1.62075e-05 3.24911e-05 1.72963e-05 6.12746e-06 7.21223e-05
8.96151e+01 1.81803e-05 3.52303e-05 2.05581e-05 6.06048e-06 8.00293e-05
8.03086e+01 2.04611e-05 3.80031e-05 2.42899e-05 5.95548e-06 8.87096e-05
7.19686e+01 2.31276e-05 4.08021e-05 2.85635e-05 5.81861e-06 9.83118e-05
6.44947e+01 2.62734e-05 4.36228e-05 3.34654e-05 5.65563e-06 1.09017e-04
5.77969e+01 3.00099e-05 4.64636e-05 3.90999e-05 5.47204e-06 1.21045e-04
5.17947e+01 3.44691e-05 4.93255e-05 4.55913e-05 5.27295e-06 1.34659e-04
4.64159e+01 3.98066e-05 5.22122e-05 5.30906e-05 5.06308e-06 1.50172e-04
4.15956e+01 4.62051e-05 5.51297e-05 6.17741e-05 4.84648e-06 1.67955e-04
3.72759e+01 5.38793e-05 5.80856e-05 7.18524e-05 4.62660e-06 1.88444e-04
3.34048e+01 6.30811e-05 6.14554e-05 8.34273e-05 4.40627e-06 2.12370e-04
2.99358e+01 7.41062e-05 6.46142e-05 9.72227e-05 4.18776e-06 2.40131e-04
2.68270e+01 8.73018e-05 6.74869e-05 1.13153e-04 3.97298e-06 2.71914e-04
2.40410e+01 1.03076e-04 7.10103e-05 1.31863e-04 3.76361e-06 3.09712e-04
2.15443e+01 1.21908e-04 7.41447e-05 1.53659e-04 3.56109e-06 3.53273e-04
1.93070e+01 1.44364e-04 7.76564e-05 1.79263e-04 3.36673e-06 4.04650e-04
1.73020e+01 1.71106e-04 8.14223e-05 2.09147e-04 3.18124e-06 4.64857e-04
1.55052e+01 2.02918e-04 8.50975e-05 2.44292e-04 3.00475e-06 5.35313e-04
1.38950e+01 2.40721e-04 8.88369e-05 2.85680e-04 2.83673e-06 6.18075e-04
1.24520e+01 2.85601e-04 9.29556e-05 3.34628e-04 2.67621e-06 7.15861e-04
1.11588e+01 3.38838e-04 9.71715e-05 3.91096e-04 2.52226e-06 8.29627e-04
1.00000e+01 4.01940e-04 1.01605e-04 4.58063e-04 2.37437e-06 9.63982e-04
