# d_f:2.7
# l:50
# g:50
# phi:0.3
# l_k:3.5
# ideal_br:True
# N_e:189
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 6.93411e-08 1.38047e-07 4.26112e-92 6.87100e-08 2.76098e-07
8.96151e+03 7.83279e-08 1.55758e-07 4.74550e-83 7.74356e-08 3.11522e-07
8.03086e+03 8.84799e-08 1.75812e-07 6.07817e-75 8.73391e-08 3.51631e-07
7.19686e+03 9.99480e-08 1.98492e-07 1.12104e-67 9.85540e-08 3.96994e-07
6.44947e+03 1.12903e-07 2.24125e-07 3.64155e-61 1.11234e-07 4.48262e-07
5.77969e+03 1.27539e-07 2.53081e-07 2.49533e-55 1.25558e-07 5.06177e-07
5.17947e+03 1.44072e-07 2.85785e-07 4.23992e-50 1.41733e-07 5.71589e-07
4.64159e+03 1.62750e-07 3.22721e-07 2.06482e-45 1.59996e-07 6.45467e-07
4.15956e+03 1.83853e-07 3.64441e-07 3.28148e-41 1.80620e-07 7.28913e-07
3.72759e+03 2.07697e-07 4.11571e-07 1.91177e-37 2.03914e-07 8.23182e-07
3.34048e+03 2.34643e-07 4.64829e-07 4.53149e-34 2.30236e-07 9.29708e-07
2.99358e+03 2.65108e-07 5.25032e-07 4.79789e-31 2.59992e-07 1.05013e-06
2.68270e+03 2.99571e-07 5.93165e-07 2.46725e-28 2.93675e-07 1.18641e-06
2.40410e+03 3.38592e-07 6.70338e-07 6.64206e-26 3.31849e-07 1.34078e-06
2.15443e+03 3.82836e-07 7.57901e-07 1.00119e-23 3.75198e-07 1.51594e-06
1.93070e+03 4.33091e-07 8.57465e-07 8.97454e-22 4.24548e-07 1.71510e-06
1.73020e+03 4.90301e-07 9.70976e-07 5.04944e-20 4.80896e-07 1.94217e-06
1.55052e+03 5.55600e-07 1.10079e-06 1.87164e-18 5.45488e-07 2.20188e-06
1.38950e+03 6.30354e-07 1.24976e-06 4.77297e-17 6.19819e-07 2.49994e-06
1.24520e+03 7.16203e-07 1.42137e-06 8.70605e-16 7.05723e-07 2.84330e-06
1.11588e+03 8.15120e-07 1.61981e-06 1.17613e-14 8.05454e-07 3.24039e-06
1.00000e+03 9.29475e-07 1.85019e-06 1.21410e-13 9.21772e-07 3.70144e-06
8.96151e+02 1.06212e-06 2.11871e-06 9.84881e-13 1.05807e-06 4.23889e-06
8.03086e+02 1.21647e-06 2.43291e-06 6.43788e-12 1.21850e-06 4.86789e-06
7.19686e+02 1.39669e-06 2.80199e-06 3.46823e-11 1.40821e-06 5.60693e-06
6.44947e+02 1.60780e-06 3.23728e-06 1.57125e-10 1.63353e-06 6.47877e-06
5.77969e+02 1.85598e-06 3.75272e-06 6.09564e-10 1.90219e-06 7.51151e-06
5.17947e+02 2.14883e-06 4.36561e-06 2.05817e-09 2.22349e-06 8.73999e-06
4.64159e+02 2.49605e-06 5.09736e-06 6.13702e-09 2.60820e-06 1.02077e-05
4.15956e+02 2.90915e-06 5.97430e-06 1.63730e-08 3.06813e-06 1.19680e-05
3.72759e+02 3.40263e-06 7.02829e-06 3.95452e-08 3.61516e-06 1.40856e-05
3.34048e+02 3.99463e-06 8.29683e-06 8.73837e-08 4.25970e-06 1.66385e-05
2.99358e+02 4.70365e-06 9.82249e-06 1.78341e-07 5.00881e-06 1.97133e-05
2.68270e+02 5.55164e-06 1.16514e-05 3.39041e-07 5.86419e-06 2.34062e-05
2.40410e+02 6.56045e-06 1.38307e-05 6.05008e-07 6.82055e-06 2.78167e-05
2.15443e+02 7.75066e-06 1.64057e-05 1.02040e-06 7.86475e-06 3.30415e-05
1.93070e+02 9.13981e-06 1.94160e-05 1.63671e-06 8.97587e-06 3.91684e-05
1.73020e+02 1.07410e-05 2.28933e-05 2.51073e-06 1.01263e-05 4.62713e-05
1.55052e+02 1.25620e-05 2.68627e-05 3.70204e-06 1.12840e-05 5.44108e-05
1.38950e+02 1.46058e-05 3.13221e-05 5.27078e-06 1.24146e-05 6.36133e-05
1.24520e+02 1.68718e-05 3.62709e-05 7.31444e-06 1.34842e-05 7.39414e-05
1.11588e+02 1.93582e-05 4.16900e-05 9.82172e-06 1.44622e-05 8.53321e-05
1.00000e+02 2.20657e-05 4.75500e-05 1.28785e-05 1.53212e-05 9.78154e-05
8.96151e+01 2.50012e-05 5.38126e-05 1.65396e-05 1.60445e-05 1.11398e-04
8.03086e+01 2.81824e-05 6.04332e-05 2.08632e-05 1.66180e-05 1.26097e-04
7.19686e+01 3.16424e-05 6.73636e-05 2.59120e-05 1.70354e-05 1.41953e-04
6.44947e+01 3.54331e-05 7.45551e-05 3.17585e-05 1.72973e-05 1.59044e-04
5.77969e+01 3.96302e-05 8.19607e-05 3.84889e-05 1.74091e-05 1.77489e-04
5.17947e+01 4.43364e-05 8.95372e-05 4.62077e-05 1.73811e-05 1.97462e-04
4.64159e+01 4.96850e-05 9.78069e-05 5.50428e-05 1.72277e-05 2.19762e-04
4.15956e+01 5.58439e-05 1.06055e-04 6.51505e-05 1.69618e-05 2.44011e-04
3.72759e+01 6.30195e-05 1.14280e-04 7.67207e-05 1.66005e-05 2.70621e-04
3.34048e+01 7.14615e-05 1.22484e-04 9.02917e-05 1.61604e-05 3.00398e-04
2.99358e+01 8.14683e-05 1.30521e-04 1.05753e-04 1.56574e-05 3.33399e-04
2.68270e+01 9.33937e-05 1.39141e-04 1.23292e-04 1.51044e-05 3.70931e-04
2.40410e+01 1.07655e-04 1.47281e-04 1.43697e-04 1.45197e-05 4.13153e-04
2.15443e+01 1.24743e-04 1.55489e-04 1.67226e-04 1.39112e-05 4.61370e-04
1.93070e+01 1.45235e-04 1.63785e-04 1.94645e-04 1.32907e-05 5.16957e-04
1.73020e+01 1.69808e-04 1.72198e-04 2.26197e-04 1.26665e-05 5.80869e-04
1.55052e+01 1.99255e-04 1.80758e-04 2.62934e-04 1.20457e-05 6.54993e-04
1.38950e+01 2.34509e-04 1.89500e-04 3.04552e-04 1.14338e-05 7.39995e-04
1.24520e+01 2.76666e-04 1.98466e-04 3.55940e-04 1.08574e-05 8.41930e-04
1.11588e+01 3.27014e-04 2.07687e-04 4.14425e-04 1.02560e-05 9.59382e-04
1.00000e+01 3.87069e-04 2.17214e-04 4.83033e-04 9.69832e-06 1.09701e-03
