# d_f:2.7
# l:200
# g:100
# phi:0.1
# l_k:3.5
# ideal_br:True
# N_e:3831
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 1.86081e-08 7.39638e-08 1.61283e-27 7.35073e-08 1.66079e-07
8.96151e+03 2.16322e-08 8.59735e-08 2.96827e-25 8.54338e-08 1.93040e-07
8.03086e+03 2.51870e-08 1.00087e-07 3.18197e-23 9.94464e-08 2.24720e-07
7.19686e+03 2.93691e-08 1.16686e-07 2.10161e-21 1.15922e-07 2.61977e-07
6.44947e+03 3.42935e-08 1.36222e-07 8.99337e-20 1.35302e-07 3.05818e-07
5.77969e+03 4.00968e-08 1.59232e-07 2.60852e-18 1.58120e-07 3.57449e-07
5.17947e+03 4.69416e-08 1.86353e-07 5.33975e-17 1.84996e-07 4.18291e-07
4.64159e+03 5.50223e-08 2.18339e-07 7.99906e-16 2.16665e-07 4.90027e-07
4.15956e+03 6.45712e-08 2.56089e-07 9.05845e-15 2.53997e-07 5.74657e-07
3.72759e+03 7.58671e-08 3.00672e-07 7.98380e-14 2.98018e-07 6.74558e-07
3.34048e+03 8.92461e-08 3.53361e-07 5.62137e-13 3.49938e-07 7.92545e-07
2.99358e+03 1.05115e-07 4.15673e-07 3.23680e-12 4.11174e-07 9.31965e-07
2.68270e+03 1.23971e-07 4.89418e-07 1.55648e-11 4.83383e-07 1.09679e-06
2.40410e+03 1.46424e-07 5.76758e-07 6.36940e-11 5.68477e-07 1.29172e-06
2.15443e+03 1.73235e-07 6.80274e-07 2.25587e-10 6.68622e-07 1.52236e-06
1.93070e+03 2.05351e-07 8.03037e-07 7.02046e-10 7.86190e-07 1.79528e-06
1.73020e+03 2.43958e-07 9.48673e-07 1.94606e-09 9.23638e-07 2.11822e-06
1.55052e+03 2.90683e-07 1.12140e-06 4.86389e-09 1.08330e-06 2.50025e-06
1.38950e+03 3.47158e-07 1.32603e-06 1.10817e-08 1.26708e-06 2.95136e-06
1.24520e+03 4.15573e-07 1.56784e-06 2.32431e-08 1.47608e-06 3.48274e-06
1.11588e+03 4.98297e-07 1.85239e-06 4.52782e-08 1.71021e-06 4.10617e-06
1.00000e+03 5.98376e-07 2.18524e-06 8.25746e-08 1.96789e-06 4.83408e-06
8.96151e+02 7.18330e-07 2.57202e-06 1.41994e-07 2.24591e-06 5.67825e-06
8.03086e+02 8.59308e-07 3.01629e-06 2.31719e-07 2.53943e-06 6.64675e-06
7.19686e+02 1.02351e-06 3.52170e-06 3.60942e-07 2.84229e-06 7.74845e-06
6.44947e+02 1.21187e-06 4.09009e-06 5.39475e-07 3.14737e-06 8.98881e-06
5.77969e+02 1.42448e-06 4.72191e-06 7.77350e-07 3.44708e-06 1.03708e-05
5.17947e+02 1.66058e-06 5.41615e-06 1.08449e-06 3.73395e-06 1.18952e-05
4.64159e+02 1.91863e-06 6.17054e-06 1.47052e-06 4.00105e-06 1.35607e-05
4.15956e+02 2.19656e-06 6.98183e-06 1.94477e-06 4.24235e-06 1.53655e-05
3.72759e+02 2.49203e-06 7.84626e-06 2.51645e-06 4.45306e-06 1.73078e-05
3.34048e+02 2.80289e-06 8.75973e-06 3.19500e-06 4.62967e-06 1.93873e-05
2.99358e+02 3.12760e-06 9.71770e-06 3.99057e-06 4.76959e-06 2.16055e-05
2.68270e+02 3.46579e-06 1.07176e-05 4.91463e-06 4.87280e-06 2.39708e-05
2.40410e+02 3.81875e-06 1.17555e-05 5.98070e-06 4.93909e-06 2.64940e-05
2.15443e+02 4.18999e-06 1.28290e-05 7.20501e-06 4.96972e-06 2.91937e-05
1.93070e+02 4.58576e-06 1.39351e-05 8.60741e-06 4.96716e-06 3.20954e-05
1.73020e+02 5.01546e-06 1.50726e-05 1.02122e-05 4.93335e-06 3.52336e-05
1.55052e+02 5.49216e-06 1.62402e-05 1.20489e-05 4.87171e-06 3.86530e-05
1.38950e+02 6.03301e-06 1.74418e-05 1.41534e-05 4.78562e-06 4.24139e-05
1.24520e+02 6.65972e-06 1.86687e-05 1.65691e-05 4.67857e-06 4.65762e-05
1.11588e+02 7.39901e-06 1.99255e-05 1.93479e-05 4.55368e-06 5.12261e-05
1.00000e+02 8.28327e-06 2.12137e-05 2.25738e-05 4.41536e-06 5.64862e-05
8.96151e+01 9.35117e-06 2.25343e-05 2.62786e-05 4.26583e-06 6.24299e-05
8.03086e+01 1.06485e-05 2.38896e-05 3.05718e-05 4.10833e-06 6.92182e-05
7.19686e+01 1.22294e-05 2.52820e-05 3.54836e-05 3.94544e-06 7.69404e-05
6.44947e+01 1.41571e-05 2.67144e-05 4.12955e-05 3.77935e-06 8.59464e-05
5.77969e+01 1.65062e-05 2.81901e-05 4.80750e-05 3.61195e-06 9.63833e-05
5.17947e+01 1.93638e-05 2.97137e-05 5.60127e-05 3.45006e-06 1.08540e-04
4.64159e+01 2.28323e-05 3.12875e-05 6.52367e-05 3.28003e-06 1.22637e-04
4.15956e+01 2.70316e-05 3.29207e-05 7.60513e-05 3.11862e-06 1.39122e-04
3.72759e+01 3.21027e-05 3.46197e-05 8.87246e-05 2.96199e-06 1.58409e-04
3.34048e+01 3.82109e-05 3.63919e-05 1.03601e-04 2.81093e-06 1.81014e-04
2.99358e+01 4.55511e-05 3.82295e-05 1.21078e-04 2.66562e-06 2.07525e-04
2.68270e+01 5.43522e-05 4.01519e-05 1.41609e-04 2.52570e-06 2.38638e-04
2.40410e+01 6.48838e-05 4.21634e-05 1.65680e-04 2.39049e-06 2.75118e-04
2.15443e+01 7.74635e-05 4.42709e-05 1.93910e-04 2.25944e-06 3.17903e-04
1.93070e+01 9.24654e-05 4.64819e-05 2.27139e-04 2.13250e-06 3.68219e-04
1.73020e+01 1.10331e-04 4.88706e-05 2.66208e-04 2.01033e-06 4.27419e-04
1.55052e+01 1.31579e-04 5.13549e-05 3.12208e-04 1.89426e-06 4.97036e-04
1.38950e+01 1.56822e-04 5.38790e-05 3.66385e-04 1.78583e-06 5.78872e-04
1.24520e+01 1.86784e-04 5.66265e-05 4.30923e-04 1.68641e-06 6.76020e-04
1.11588e+01 2.22316e-04 5.95061e-05 5.05372e-04 1.59659e-06 7.88791e-04
1.00000e+01 2.64422e-04 6.25329e-05 5.93909e-04 1.51603e-06 9.22380e-04
