# d_f:2
# l:100
# g:50
# N_e:0
# l_k:1
# ideal_br:False
# 
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 1.04214e-07 4.16812e-07 4.79592e-48 4.16766e-07 9.37792e-07
8.96151e+03 1.22919e-07 4.91608e-07 1.60739e-43 4.91542e-07 1.10607e-06
8.03086e+03 1.44991e-07 5.79866e-07 1.82763e-39 5.79769e-07 1.30463e-06
7.19686e+03 1.71040e-07 6.84019e-07 7.88746e-36 6.83877e-07 1.53894e-06
6.44947e+03 2.01788e-07 8.06945e-07 1.42876e-32 8.06738e-07 1.81547e-06
5.77969e+03 2.38089e-07 9.52046e-07 1.18882e-29 9.51736e-07 2.14187e-06
5.17947e+03 2.80954e-07 1.12336e-06 4.92598e-27 1.12290e-06 2.52722e-06
4.64159e+03 3.31582e-07 1.32565e-06 1.09280e-24 1.32498e-06 2.98221e-06
4.15956e+03 3.91392e-07 1.56457e-06 1.38496e-22 1.56357e-06 3.51953e-06
3.72759e+03 4.62071e-07 1.84680e-06 1.06278e-20 1.84532e-06 4.15419e-06
3.34048e+03 5.45624e-07 2.18029e-06 5.20231e-19 2.17805e-06 4.90396e-06
2.99358e+03 6.44432e-07 2.57444e-06 1.70209e-17 2.57113e-06 5.79000e-06
2.68270e+03 7.61336e-07 3.04042e-06 3.88138e-16 3.03551e-06 6.83726e-06
2.40410e+03 8.99723e-07 3.59151e-06 6.40481e-15 3.58419e-06 8.07542e-06
2.15443e+03 1.06365e-06 4.24347e-06 7.90959e-14 4.23251e-06 9.53963e-06
1.93070e+03 1.25796e-06 5.01508e-06 7.53399e-13 4.99861e-06 1.12716e-05
1.73020e+03 1.48852e-06 5.92866e-06 5.68672e-12 5.90383e-06 1.33210e-05
1.55052e+03 1.76239e-06 7.01084e-06 3.48490e-11 6.97329e-06 1.57466e-05
1.38950e+03 2.08819e-06 8.29337e-06 1.77194e-10 8.23631e-06 1.86181e-05
1.24520e+03 2.47648e-06 9.81415e-06 7.62260e-10 9.72691e-06 2.20183e-05
1.11588e+03 2.94036e-06 1.16184e-05 2.82322e-09 1.14839e-05 2.60455e-05
1.00000e+03 3.49662e-06 1.37602e-05 9.14505e-09 1.35502e-05 3.08161e-05
8.96151e+02 4.16555e-06 1.63032e-05 2.62746e-08 1.59713e-05 3.64663e-05
8.03086e+02 4.97321e-06 1.93222e-05 6.78081e-08 1.87918e-05 4.31550e-05
7.19686e+02 5.95276e-06 2.29029e-05 1.58981e-07 2.20504e-05 5.10650e-05
6.44947e+02 7.14061e-06 2.71407e-05 3.42100e-07 2.57729e-05 6.03963e-05
5.77969e+02 8.58067e-06 3.21376e-05 6.81831e-07 2.99655e-05 7.13655e-05
5.17947e+02 1.03194e-05 3.79972e-05 1.26908e-06 3.46082e-05 8.41939e-05
4.64159e+02 1.24033e-05 4.48264e-05 2.22232e-06 3.96513e-05 9.91033e-05
4.15956e+02 1.48747e-05 5.26978e-05 3.68572e-06 4.50146e-05 1.16273e-04
3.72759e+02 1.77676e-05 6.16855e-05 5.82425e-06 5.05908e-05 1.35868e-04
3.34048e+02 2.11039e-05 7.18329e-05 8.81680e-06 5.62526e-05 1.58006e-04
2.99358e+02 2.48904e-05 8.31552e-05 1.28486e-05 6.18612e-05 1.82755e-04
2.68270e+02 2.91179e-05 9.56643e-05 1.81045e-05 6.72763e-05 2.10163e-04
2.40410e+02 3.37626e-05 1.09288e-04 2.48932e-05 7.23651e-05 2.40309e-04
2.15443e+02 3.87886e-05 1.23987e-04 3.31584e-05 7.70101e-05 2.72944e-04
1.93070e+02 4.41533e-05 1.39694e-04 4.31754e-05 8.11145e-05 3.08138e-04
1.73020e+02 4.98148e-05 1.56335e-04 5.51134e-05 8.46056e-05 3.45869e-04
1.55052e+02 5.57396e-05 1.73822e-04 6.91566e-05 8.74270e-05 3.86145e-04
1.38950e+02 6.19125e-05 1.92108e-04 8.55067e-05 8.95715e-05 4.29098e-04
1.24520e+02 6.83462e-05 2.11116e-04 1.04399e-04 9.10283e-05 4.74889e-04
1.11588e+02 7.50912e-05 2.30799e-04 1.26117e-04 9.18151e-05 5.23822e-04
1.00000e+02 8.22453e-05 2.51096e-04 1.51004e-04 9.19727e-05 5.76318e-04
8.96151e+01 8.99623e-05 2.71983e-04 1.79481e-04 9.15345e-05 6.32962e-04
8.03086e+01 9.84614e-05 2.95253e-04 2.12063e-04 9.05611e-05 6.96339e-04
7.19686e+01 1.08034e-04 3.18633e-04 2.49374e-04 8.91140e-05 7.65155e-04
6.44947e+01 1.19055e-04 3.42203e-04 2.93125e-04 8.72572e-05 8.41640e-04
5.77969e+01 1.31986e-04 3.66042e-04 3.42329e-04 8.50552e-05 9.25412e-04
5.17947e+01 1.47393e-04 3.89735e-04 3.99695e-04 8.25713e-05 1.01939e-03
4.64159e+01 1.65952e-04 4.15659e-04 4.65653e-04 7.98671e-05 1.12713e-03
4.15956e+01 1.88468e-04 4.40508e-04 5.41446e-04 7.69978e-05 1.24742e-03
3.72759e+01 2.15890e-04 4.65998e-04 6.30546e-04 7.40134e-05 1.38645e-03
3.34048e+01 2.49333e-04 4.92184e-04 7.32002e-04 7.09569e-05 1.54448e-03
2.99358e+01 2.90107e-04 5.19136e-04 8.51935e-04 6.78650e-05 1.72904e-03
2.68270e+01 3.39747e-04 5.46929e-04 9.90974e-04 6.47705e-05 1.94242e-03
2.40410e+01 4.00053e-04 5.75653e-04 1.15349e-03 6.17038e-05 2.19090e-03
2.15443e+01 4.73135e-04 6.05399e-04 1.34369e-03 5.86929e-05 2.48091e-03
1.93070e+01 5.61471e-04 6.36274e-04 1.56653e-03 5.57640e-05 2.82004e-03
1.73020e+01 6.67972e-04 6.68403e-04 1.82793e-03 5.29343e-05 3.21723e-03
1.55052e+01 7.96059e-04 7.01826e-04 2.13449e-03 5.02111e-05 3.68259e-03
1.38950e+01 9.49757e-04 7.36747e-04 2.49455e-03 4.75904e-05 4.22865e-03
1.24520e+01 1.13380e-03 7.73277e-04 2.92200e-03 4.50610e-05 4.87415e-03
1.11588e+01 1.35378e-03 8.11529e-04 3.41498e-03 4.26110e-05 5.62290e-03
1.00000e+01 1.61625e-03 8.51665e-04 3.99971e-03 4.02358e-05 6.50786e-03
