# d_f:2.7
# l:100
# g:100
# phi:0.1
# l_k:3.5
# ideal_br:True
# N_e:1940
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 2.89014e-08 5.77406e-08 5.49327e-49 2.88404e-08 1.15482e-07
8.96151e+03 3.29728e-08 6.58998e-08 1.84111e-44 3.29287e-08 1.31801e-07
8.03086e+03 3.76903e-08 7.53637e-08 2.09338e-40 3.76758e-08 1.50730e-07
7.19686e+03 4.31691e-08 8.63678e-08 9.03434e-37 4.32019e-08 1.72739e-07
6.44947e+03 4.95452e-08 9.91908e-08 1.63651e-33 4.96502e-08 1.98386e-07
5.77969e+03 5.69794e-08 1.14163e-07 1.36168e-30 5.71904e-08 2.28333e-07
5.17947e+03 6.56615e-08 1.31678e-07 5.64225e-28 6.60261e-08 2.63366e-07
4.64159e+03 7.58158e-08 1.52201e-07 1.25169e-25 7.63984e-08 3.04415e-07
4.15956e+03 8.77075e-08 1.76284e-07 1.58634e-23 8.85959e-08 3.52588e-07
3.72759e+03 1.01651e-07 2.04586e-07 1.21732e-21 1.02964e-07 4.09201e-07
3.34048e+03 1.18017e-07 2.37892e-07 5.95875e-20 1.19915e-07 4.75823e-07
2.99358e+03 1.37246e-07 2.77136e-07 1.94958e-18 1.39949e-07 5.54332e-07
2.68270e+03 1.59863e-07 3.23441e-07 4.44575e-17 1.63665e-07 6.46970e-07
2.40410e+03 1.86490e-07 3.78148e-07 7.33610e-16 1.91788e-07 7.56426e-07
2.15443e+03 2.17867e-07 4.42872e-07 9.05968e-15 2.25196e-07 8.85936e-07
1.93070e+03 2.54880e-07 5.19560e-07 8.62948e-14 2.64962e-07 1.03940e-06
1.73020e+03 2.98591e-07 6.10568e-07 6.51360e-13 3.12394e-07 1.22155e-06
1.55052e+03 3.50274e-07 7.18761e-07 3.99162e-12 3.69100e-07 1.43814e-06
1.38950e+03 4.11475e-07 8.47641e-07 2.02959e-11 4.37058e-07 1.69619e-06
1.24520e+03 4.84074e-07 1.00151e-06 8.73097e-11 5.18696e-07 2.00437e-06
1.11588e+03 5.70386e-07 1.18569e-06 3.23374e-10 6.16968e-07 2.37336e-06
1.00000e+03 6.73276e-07 1.40676e-06 1.04748e-09 7.35384e-07 2.81647e-06
8.96151e+02 7.96347e-07 1.67289e-06 3.00951e-09 8.77947e-07 3.35019e-06
8.03086e+02 9.44098e-07 1.99404e-06 7.76678e-09 1.04894e-06 3.99484e-06
7.19686e+02 1.12177e-06 2.38219e-06 1.82098e-08 1.25250e-06 4.77467e-06
6.44947e+02 1.33594e-06 2.85128e-06 3.91843e-08 1.49205e-06 5.71846e-06
5.77969e+02 1.59437e-06 3.41691e-06 7.80973e-08 1.76957e-06 6.85894e-06
5.17947e+02 1.90372e-06 4.09564e-06 1.45361e-07 2.08495e-06 8.22967e-06
4.64159e+02 2.27210e-06 4.90414e-06 2.54546e-07 2.43543e-06 9.86622e-06
4.15956e+02 2.70653e-06 5.85793e-06 4.22164e-07 2.81545e-06 1.18021e-05
3.72759e+02 3.21276e-06 6.97025e-06 6.67112e-07 3.21676e-06 1.40669e-05
3.34048e+02 3.79483e-06 8.25103e-06 1.00988e-06 3.62896e-06 1.66847e-05
2.99358e+02 4.45492e-06 9.70596e-06 1.47168e-06 4.04027e-06 1.96728e-05
2.68270e+02 5.19352e-06 1.13362e-05 2.07370e-06 4.43846e-06 2.30418e-05
2.40410e+02 6.01008e-06 1.31381e-05 2.83658e-06 4.81176e-06 2.67965e-05
2.15443e+02 6.90399e-06 1.51040e-05 3.78030e-06 5.14971e-06 3.09380e-05
1.93070e+02 7.87583e-06 1.72224e-05 4.92440e-06 5.44324e-06 3.54659e-05
1.73020e+02 8.92891e-06 1.94789e-05 6.28865e-06 5.68714e-06 4.03836e-05
1.55052e+02 1.00708e-05 2.18629e-05 7.89397e-06 5.87708e-06 4.57048e-05
1.38950e+02 1.13148e-05 2.43466e-05 9.76366e-06 6.01159e-06 5.14366e-05
1.24520e+02 1.26817e-05 2.69179e-05 1.19585e-05 6.09136e-06 5.76495e-05
1.11588e+02 1.42007e-05 2.95606e-05 1.44458e-05 6.11890e-06 6.43260e-05
1.00000e+02 1.59113e-05 3.22604e-05 1.72963e-05 6.09819e-06 7.15662e-05
8.96151e+01 1.78642e-05 3.50038e-05 2.05581e-05 6.03451e-06 7.94607e-05
8.03086e+01 2.01227e-05 3.77814e-05 2.42899e-05 5.93254e-06 8.81265e-05
7.19686e+01 2.27643e-05 4.05857e-05 2.85635e-05 5.79845e-06 9.77120e-05
6.44947e+01 2.58825e-05 4.34123e-05 3.34654e-05 5.63800e-06 1.08398e-04
5.77969e+01 2.95887e-05 4.62593e-05 3.90999e-05 5.45667e-06 1.20405e-04
5.17947e+01 3.40148e-05 4.91278e-05 4.55913e-05 5.25961e-06 1.33993e-04
4.64159e+01 3.93162e-05 5.20214e-05 5.30906e-05 5.05154e-06 1.49480e-04
4.15956e+01 4.56757e-05 5.49459e-05 6.17741e-05 4.83652e-06 1.67232e-04
3.72759e+01 5.33080e-05 5.79090e-05 7.18524e-05 4.61803e-06 1.87687e-04
3.34048e+01 6.24648e-05 6.12860e-05 8.34273e-05 4.39891e-06 2.11577e-04
2.99358e+01 7.34419e-05 6.44520e-05 9.72227e-05 4.18146e-06 2.39298e-04
2.68270e+01 8.65864e-05 6.73318e-05 1.13153e-04 3.96759e-06 2.71038e-04
2.40410e+01 1.02306e-04 7.08622e-05 1.31863e-04 3.75901e-06 3.08790e-04
2.15443e+01 1.21081e-04 7.40036e-05 1.53659e-04 3.55717e-06 3.52301e-04
1.93070e+01 1.43476e-04 7.75221e-05 1.79263e-04 3.36338e-06 4.03624e-04
1.73020e+01 1.70154e-04 8.12945e-05 2.09147e-04 3.17840e-06 4.63774e-04
1.55052e+01 2.01899e-04 8.49760e-05 2.44292e-04 3.00233e-06 5.34170e-04
1.38950e+01 2.39631e-04 8.87216e-05 2.85680e-04 2.83467e-06 6.16867e-04
1.24520e+01 2.84436e-04 9.28462e-05 3.34628e-04 2.67447e-06 7.14585e-04
1.11588e+01 3.37594e-04 9.70677e-05 3.91096e-04 2.52078e-06 8.28278e-04
1.00000e+01 4.00612e-04 1.01507e-04 4.58063e-04 2.37311e-06 9.62554e-04
