# d_f:2.7
# l:50
# g:25
# phi:0.2
# l_k:3.5
# ideal_br:True
# N_e:965
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 2.59661e-08 1.03545e-07 5.68150e-92 1.03224e-07 2.32735e-07
8.96151e+03 2.94901e-08 1.17475e-07 6.32733e-83 1.16994e-07 2.63959e-07
8.03086e+03 3.35439e-08 1.33544e-07 8.10422e-75 1.32919e-07 3.00007e-07
7.19686e+03 3.82204e-08 1.52109e-07 1.49472e-67 1.51346e-07 3.41675e-07
6.44947e+03 4.36295e-08 1.73598e-07 4.85539e-61 1.72691e-07 3.89919e-07
5.77969e+03 4.99013e-08 1.98522e-07 3.32711e-55 1.97454e-07 4.45877e-07
5.17947e+03 5.71894e-08 2.27486e-07 5.65323e-50 2.26235e-07 5.10910e-07
4.64159e+03 6.56753e-08 2.61211e-07 2.75309e-45 2.59746e-07 5.86632e-07
4.15956e+03 7.55733e-08 3.00546e-07 4.37531e-41 2.98831e-07 6.74950e-07
3.72759e+03 8.71363e-08 3.46496e-07 2.54903e-37 3.44486e-07 7.78118e-07
3.34048e+03 1.00663e-07 4.00245e-07 6.04199e-34 3.97888e-07 8.98796e-07
2.99358e+03 1.16506e-07 4.63186e-07 6.39719e-31 4.60418e-07 1.04011e-06
2.68270e+03 1.35084e-07 5.36993e-07 3.28966e-28 5.33734e-07 1.20581e-06
2.40410e+03 1.56889e-07 6.23604e-07 8.85608e-26 6.19758e-07 1.40025e-06
2.15443e+03 1.82507e-07 7.25337e-07 1.33492e-23 7.20783e-07 1.62863e-06
1.93070e+03 2.12631e-07 8.44930e-07 1.19661e-21 8.39513e-07 1.89707e-06
1.73020e+03 2.48083e-07 9.85625e-07 6.73259e-20 9.79129e-07 2.21284e-06
1.55052e+03 2.89840e-07 1.15127e-06 2.49553e-18 1.14345e-06 2.58456e-06
1.38950e+03 3.39067e-07 1.34641e-06 6.36395e-17 1.33693e-06 3.02241e-06
1.24520e+03 3.97149e-07 1.57648e-06 1.16081e-15 1.56487e-06 3.53850e-06
1.11588e+03 4.65742e-07 1.84789e-06 1.56817e-14 1.83350e-06 4.14714e-06
1.00000e+03 5.46829e-07 2.16830e-06 1.61880e-13 2.15021e-06 4.86534e-06
8.96151e+02 6.42793e-07 2.54680e-06 1.31318e-12 2.52371e-06 5.71330e-06
8.03086e+02 7.56510e-07 2.99424e-06 8.58383e-12 2.96423e-06 6.71499e-06
7.19686e+02 8.91474e-07 3.52353e-06 4.62431e-11 3.48380e-06 7.89884e-06
6.44947e+02 1.05196e-06 4.15011e-06 2.09500e-10 4.09636e-06 9.29864e-06
5.77969e+02 1.24324e-06 4.89240e-06 8.12752e-10 4.81798e-06 1.09544e-05
5.17947e+02 1.47188e-06 5.77238e-06 2.74422e-09 5.66661e-06 1.29136e-05
4.64159e+02 1.74647e-06 6.81615e-06 8.18269e-09 6.66163e-06 1.52324e-05
4.15956e+02 2.07708e-06 8.05442e-06 2.18307e-08 7.82260e-06 1.79759e-05
3.72759e+02 2.47688e-06 9.52264e-06 5.27270e-08 9.16727e-06 2.12195e-05
3.34048e+02 2.96212e-06 1.12607e-05 1.16512e-07 1.07089e-05 2.50483e-05
2.99358e+02 3.54973e-06 1.33120e-05 2.37788e-07 1.24533e-05 2.95528e-05
2.68270e+02 4.25993e-06 1.57212e-05 4.52055e-07 1.43957e-05 3.48289e-05
2.40410e+02 5.11296e-06 1.85321e-05 8.06678e-07 1.65188e-05 4.09705e-05
2.15443e+02 6.12788e-06 2.17881e-05 1.36053e-06 1.87923e-05 4.80687e-05
1.93070e+02 7.32074e-06 2.55143e-05 2.18228e-06 2.11733e-05 5.61906e-05
1.73020e+02 8.70278e-06 2.97362e-05 3.34763e-06 2.36093e-05 6.53960e-05
1.55052e+02 1.02791e-05 3.44707e-05 4.93605e-06 2.60417e-05 7.57276e-05
1.38950e+02 1.20480e-05 3.97070e-05 7.06867e-06 2.84095e-05 8.72332e-05
1.24520e+02 1.40011e-05 4.54373e-05 9.75249e-06 3.06541e-05 9.98449e-05
1.11588e+02 1.61243e-05 5.16403e-05 1.30956e-05 3.27223e-05 1.13583e-04
1.00000e+02 1.83999e-05 5.82884e-05 1.71709e-05 3.45694e-05 1.28429e-04
8.96151e+01 2.08094e-05 6.53500e-05 2.20528e-05 3.61604e-05 1.44373e-04
8.03086e+01 2.33368e-05 7.27925e-05 2.78176e-05 3.74713e-05 1.61418e-04
7.19686e+01 2.59727e-05 8.05800e-05 3.45493e-05 3.84850e-05 1.79587e-04
6.44947e+01 2.87182e-05 8.86926e-05 4.23447e-05 3.92047e-05 1.98960e-04
5.77969e+01 3.15898e-05 9.71007e-05 5.13186e-05 3.96317e-05 2.19641e-04
5.17947e+01 3.46227e-05 1.06493e-04 6.16103e-05 3.97818e-05 2.42507e-04
4.64159e+01 3.78756e-05 1.15999e-04 7.33904e-05 3.96676e-05 2.66932e-04
4.15956e+01 4.14336e-05 1.25629e-04 8.68673e-05 3.93148e-05 2.93245e-04
3.72759e+01 4.54127e-05 1.35395e-04 1.02695e-04 3.87487e-05 3.22252e-04
3.34048e+01 4.99626e-05 1.45806e-04 1.20883e-04 3.79970e-05 3.54649e-04
2.99358e+01 5.52707e-05 1.55748e-04 1.41211e-04 3.70880e-05 3.89318e-04
2.68270e+01 6.15664e-05 1.65910e-04 1.64599e-04 3.60447e-05 4.28120e-04
2.40410e+01 6.91262e-05 1.76311e-04 1.91744e-04 3.49047e-05 4.72085e-04
2.15443e+01 7.82788e-05 1.86957e-04 2.23325e-04 3.36832e-05 5.22244e-04
1.93070e+01 8.94133e-05 1.97873e-04 2.59526e-04 3.24056e-05 5.79218e-04
1.73020e+01 1.02987e-04 2.09081e-04 3.01595e-04 3.10915e-05 6.44755e-04
1.55052e+01 1.19538e-04 2.20609e-04 3.50578e-04 2.97574e-05 7.20483e-04
1.38950e+01 1.39696e-04 2.32490e-04 4.07714e-04 2.84180e-05 8.08318e-04
1.24520e+01 1.64200e-04 2.44766e-04 4.74656e-04 2.71400e-05 9.10762e-04
1.11588e+01 1.93915e-04 2.57458e-04 5.52569e-04 2.57757e-05 1.02972e-03
1.00000e+01 2.29858e-04 2.70628e-04 6.44035e-04 2.44971e-05 1.16902e-03
