# d_f:2.5
# l:200
# g:100
# N_e:0
# l_k:1
# ideal_br:False
# 
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 1.18580e-06 4.57203e-06 4.26744e-26 4.41129e-06 1.01691e-05
8.96151e+03 1.35309e-06 5.20252e-06 7.77524e-24 5.00650e-06 1.15621e-05
8.03086e+03 1.54406e-06 5.91913e-06 8.25633e-22 5.68025e-06 1.31434e-05
7.19686e+03 1.76208e-06 6.73339e-06 5.40456e-20 6.44250e-06 1.49380e-05
6.44947e+03 2.01102e-06 7.65844e-06 2.29338e-18 7.30419e-06 1.69736e-05
5.77969e+03 2.29529e-06 8.70910e-06 6.59954e-17 8.27850e-06 1.92829e-05
5.17947e+03 2.61996e-06 9.90220e-06 1.34097e-15 9.37898e-06 2.19011e-05
4.64159e+03 2.99085e-06 1.12567e-05 1.99491e-14 1.06218e-05 2.48693e-05
4.15956e+03 3.41463e-06 1.27941e-05 2.24452e-13 1.20245e-05 2.82332e-05
3.72759e+03 3.89897e-06 1.45376e-05 1.96635e-12 1.36055e-05 3.20421e-05
3.34048e+03 4.45269e-06 1.65168e-05 1.37678e-11 1.53887e-05 3.63582e-05
2.99358e+03 5.08596e-06 1.87616e-05 7.88670e-11 1.73978e-05 4.12454e-05
2.68270e+03 5.81056e-06 2.13068e-05 3.77453e-10 1.96598e-05 4.67776e-05
2.40410e+03 6.64012e-06 2.41918e-05 1.53793e-09 2.22043e-05 5.30378e-05
2.15443e+03 7.59043e-06 2.74604e-05 5.42554e-09 2.50631e-05 6.01193e-05
1.93070e+03 8.67981e-06 3.11616e-05 1.68251e-08 2.82687e-05 6.81269e-05
1.73020e+03 9.92929e-06 3.53492e-05 4.64919e-08 3.18520e-05 7.71770e-05
1.55052e+03 1.13630e-05 4.00809e-05 1.15876e-07 3.58382e-05 8.73980e-05
1.38950e+03 1.30069e-05 4.54173e-05 2.63367e-07 4.02404e-05 9.89280e-05
1.24520e+03 1.48886e-05 5.14189e-05 5.51245e-07 4.50538e-05 1.11913e-04
1.11588e+03 1.70359e-05 5.81430e-05 1.07195e-06 5.02483e-05 1.26499e-04
1.00000e+03 1.94742e-05 6.56393e-05 1.95209e-06 5.57647e-05 1.42830e-04
8.96151e+02 2.22242e-05 7.39463e-05 3.35281e-06 6.15130e-05 1.61036e-04
8.03086e+02 2.52994e-05 8.30868e-05 5.46621e-06 6.73747e-05 1.81227e-04
7.19686e+02 2.87041e-05 9.30667e-05 8.50816e-06 7.32095e-05 2.03488e-04
6.44947e+02 3.24322e-05 1.03874e-04 1.27089e-05 7.88644e-05 2.27879e-04
5.77969e+02 3.64671e-05 1.15479e-04 1.83033e-05 8.41843e-05 2.54434e-04
5.17947e+02 4.07835e-05 1.27841e-04 2.55225e-05 8.90176e-05 2.83165e-04
4.64159e+02 4.53503e-05 1.40908e-04 3.45884e-05 9.32445e-05 3.14091e-04
4.15956e+02 5.01364e-05 1.54622e-04 4.57115e-05 9.67556e-05 3.47225e-04
3.72759e+02 5.51164e-05 1.68923e-04 5.90933e-05 9.94748e-05 3.82608e-04
3.34048e+02 6.02798e-05 1.83754e-04 7.49307e-05 1.01357e-04 4.20321e-04
2.99358e+02 6.56386e-05 1.99085e-04 9.34243e-05 1.02386e-04 4.60534e-04
2.68270e+02 7.12370e-05 2.14805e-04 1.14788e-04 1.02573e-04 5.03404e-04
2.40410e+02 7.71593e-05 2.30867e-04 1.39322e-04 1.01957e-04 5.49306e-04
2.15443e+02 8.35366e-05 2.47219e-04 1.67179e-04 1.00593e-04 5.98527e-04
1.93070e+02 9.05528e-05 2.63798e-04 1.98739e-04 9.85569e-05 6.51646e-04
1.73020e+02 9.84482e-05 2.80531e-04 2.34383e-04 9.59345e-05 7.09296e-04
1.55052e+02 1.07522e-04 2.97355e-04 2.74562e-04 9.28081e-05 7.72246e-04
1.38950e+02 1.18132e-04 3.14202e-04 3.19806e-04 8.92741e-05 8.41415e-04
1.24520e+02 1.30700e-04 3.31007e-04 3.70743e-04 8.54234e-05 9.17874e-04
1.11588e+02 1.45706e-04 3.47708e-04 4.28097e-04 8.13385e-05 1.00285e-03
1.00000e+02 1.63698e-04 3.64255e-04 4.92738e-04 7.71135e-05 1.09781e-03
8.96151e+01 1.85286e-04 3.80600e-04 5.65651e-04 7.28083e-05 1.20435e-03
8.03086e+01 2.11155e-04 3.96223e-04 6.47973e-04 6.84906e-05 1.32384e-03
7.19686e+01 2.42064e-04 4.12545e-04 7.41019e-04 6.42135e-05 1.45984e-03
6.44947e+01 2.78862e-04 4.28102e-04 8.46405e-04 6.00197e-05 1.61339e-03
5.77969e+01 3.22494e-04 4.43370e-04 9.65584e-04 5.59437e-05 1.78739e-03
5.17947e+01 3.74014e-04 4.58365e-04 1.10067e-03 5.20971e-05 1.98515e-03
4.64159e+01 4.34609e-04 4.73062e-04 1.25395e-03 4.82543e-05 2.20987e-03
