# d_f:2.7
# l:100
# g:20
# phi:0.1
# l_k:3.5
# ideal_br:True
# N_e:15791
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 1.14857e-08 1.12939e-07 9.15546e-49 2.77998e-07 4.02422e-07
8.96151e+03 1.35221e-08 1.32801e-07 3.06852e-44 3.26310e-07 4.72632e-07
8.03086e+03 1.59244e-08 1.56127e-07 3.48897e-40 3.82873e-07 5.54925e-07
7.19686e+03 1.87587e-08 1.83531e-07 1.50572e-36 4.49094e-07 6.51384e-07
6.44947e+03 2.21038e-08 2.15729e-07 2.72752e-33 5.26602e-07 7.64435e-07
5.77969e+03 2.60526e-08 2.53555e-07 2.26947e-30 6.17258e-07 8.96865e-07
5.17947e+03 3.07156e-08 2.97999e-07 9.40374e-28 7.23258e-07 1.05197e-06
4.64159e+03 3.62234e-08 3.50201e-07 2.08616e-25 8.47090e-07 1.23351e-06
4.15956e+03 4.27316e-08 4.11484e-07 2.64390e-23 9.91580e-07 1.44580e-06
3.72759e+03 5.04248e-08 4.83404e-07 2.02886e-21 1.16000e-06 1.69383e-06
3.34048e+03 5.95228e-08 5.67767e-07 9.93125e-20 1.35600e-06 1.98329e-06
2.99358e+03 7.02875e-08 6.66670e-07 3.24930e-18 1.58390e-06 2.32086e-06
2.68270e+03 8.30317e-08 7.82549e-07 7.40958e-17 1.84837e-06 2.71395e-06
2.40410e+03 9.81293e-08 9.18220e-07 1.22268e-15 2.15471e-06 3.17106e-06
2.15443e+03 1.16029e-07 1.07693e-06 1.50995e-14 2.50883e-06 3.70179e-06
1.93070e+03 1.37270e-07 1.26244e-06 1.43825e-13 2.91722e-06 4.31693e-06
1.73020e+03 1.62505e-07 1.47903e-06 1.08560e-12 3.38697e-06 5.02851e-06
1.55052e+03 1.92524e-07 1.73162e-06 6.65270e-12 3.92574e-06 5.84990e-06
1.38950e+03 2.28297e-07 2.02584e-06 3.38265e-11 4.54164e-06 6.79581e-06
1.24520e+03 2.71019e-07 2.36803e-06 1.45516e-10 5.24311e-06 7.88230e-06
1.11588e+03 3.22178e-07 2.76545e-06 5.38956e-10 6.03873e-06 9.12690e-06
1.00000e+03 3.83616e-07 3.22618e-06 1.74580e-09 6.93679e-06 1.05483e-05
8.96151e+02 4.57700e-07 3.75925e-06 5.01585e-09 7.94465e-06 1.21666e-05
8.03086e+02 5.47882e-07 4.37463e-06 1.29446e-08 9.06790e-06 1.40034e-05
7.19686e+02 6.57279e-07 5.08300e-06 3.03497e-08 1.03092e-05 1.60798e-05
6.44947e+02 7.90556e-07 5.89556e-06 6.53072e-08 1.16668e-05 1.84182e-05
5.77969e+02 9.53758e-07 6.82348e-06 1.30162e-07 1.31336e-05 2.10410e-05
5.17947e+02 1.15111e-06 7.87736e-06 2.42269e-07 1.46961e-05 2.39668e-05
