# d_f:2.7
# l:100
# g:200
# phi:0.3
# l_k:3.5
# ideal_br:True
# N_e:111
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 1.10149e-07 1.09009e-07 3.66218e-49 2.69729e-08 2.46131e-07
8.96151e+03 1.24427e-07 1.23075e-07 1.22741e-44 3.04379e-08 2.77939e-07
8.03086e+03 1.40555e-07 1.38956e-07 1.39559e-40 3.43483e-08 3.13860e-07
7.19686e+03 1.58776e-07 1.56888e-07 6.02290e-37 3.87616e-08 3.54426e-07
6.44947e+03 1.79360e-07 1.77138e-07 1.09101e-33 4.37433e-08 4.00241e-07
5.77969e+03 2.02614e-07 2.00003e-07 9.07786e-31 4.93665e-08 4.51983e-07
5.17947e+03 2.28885e-07 2.25833e-07 3.76150e-28 5.57181e-08 5.10437e-07
4.64159e+03 2.58566e-07 2.55009e-07 8.34463e-26 6.28918e-08 5.76467e-07
4.15956e+03 2.92099e-07 2.87973e-07 1.05756e-23 7.09975e-08 6.51069e-07
3.72759e+03 3.29985e-07 3.25222e-07 8.11543e-22 8.01600e-08 7.35367e-07
3.34048e+03 3.72792e-07 3.67327e-07 3.97250e-20 9.05210e-08 8.30640e-07
2.99358e+03 4.21159e-07 4.14934e-07 1.29972e-18 1.02248e-07 9.38342e-07
2.68270e+03 4.75813e-07 4.68783e-07 2.96383e-17 1.15530e-07 1.06013e-06
2.40410e+03 5.37574e-07 5.29724e-07 4.89074e-16 1.30587e-07 1.19789e-06
2.15443e+03 6.07374e-07 5.98732e-07 6.03979e-15 1.47677e-07 1.35378e-06
1.93070e+03 6.86274e-07 6.76944e-07 5.75298e-14 1.67109e-07 1.53033e-06
1.73020e+03 7.75488e-07 7.65692e-07 4.34240e-13 1.89255e-07 1.73044e-06
1.55052e+03 8.76422e-07 8.66572e-07 2.66108e-12 2.14576e-07 1.95757e-06
1.38950e+03 9.90720e-07 9.81527e-07 1.35306e-11 2.43659e-07 2.21592e-06
1.24520e+03 1.12034e-06 1.11299e-06 5.82065e-11 2.77261e-07 2.51065e-06
1.11588e+03 1.26764e-06 1.26406e-06 2.15582e-10 3.16364e-07 2.84828e-06
1.00000e+03 1.43551e-06 1.43875e-06 6.98319e-10 3.62221e-07 3.23719e-06
8.96151e+02 1.62753e-06 1.64233e-06 2.00634e-09 4.16366e-07 3.68823e-06
8.03086e+02 1.84825e-06 1.88157e-06 5.17785e-09 4.80551e-07 4.21555e-06
7.19686e+02 2.10281e-06 2.16510e-06 1.21399e-08 5.56605e-07 4.83665e-06
6.44947e+02 2.39753e-06 2.50347e-06 2.61229e-08 6.46112e-07 5.57323e-06
