# d_f:3
# l:100
# g:100
# N_e:0
# l_k:1
# ideal_br:False
# 
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 8.97936e-06 1.73110e-05 3.06812e-47 8.35083e-06 3.46412e-05
8.96151e+03 1.00199e-05 1.92734e-05 1.00672e-42 9.27761e-06 3.85710e-05
8.03086e+03 1.11811e-05 2.14555e-05 1.12218e-38 1.03047e-05 4.29413e-05
7.19686e+03 1.24768e-05 2.38815e-05 4.75389e-35 1.14425e-05 4.78008e-05
6.44947e+03 1.39226e-05 2.65780e-05 8.46310e-32 1.27027e-05 5.32033e-05
5.77969e+03 1.55360e-05 2.95729e-05 6.92831e-29 1.40971e-05 5.92060e-05
5.17947e+03 1.73364e-05 3.29030e-05 2.82751e-26 1.56403e-05 6.58797e-05
4.64159e+03 1.93454e-05 3.66011e-05 6.18417e-24 1.73481e-05 7.32947e-05
4.15956e+03 2.15873e-05 4.07095e-05 7.73425e-22 1.92382e-05 8.15349e-05
3.72759e+03 2.40889e-05 4.52737e-05 5.86206e-20 2.13293e-05 9.06919e-05
3.34048e+03 2.68804e-05 5.03423e-05 2.83658e-18 2.36402e-05 1.00863e-04
2.99358e+03 2.99954e-05 5.59701e-05 9.18173e-17 2.61967e-05 1.12162e-04
2.68270e+03 3.34714e-05 6.22182e-05 2.07303e-15 2.90226e-05 1.24712e-04
2.40410e+03 3.73502e-05 6.91543e-05 3.38942e-14 3.21446e-05 1.38649e-04
2.15443e+03 4.16785e-05 7.68538e-05 4.15028e-13 3.55977e-05 1.54130e-04
1.93070e+03 4.65083e-05 8.54004e-05 3.92236e-12 3.94089e-05 1.71318e-04
1.73020e+03 5.18979e-05 9.48727e-05 2.93944e-11 4.36289e-05 1.90400e-04
1.55052e+03 5.79120e-05 1.05404e-04 1.78955e-10 4.82961e-05 2.11612e-04
1.38950e+03 6.46231e-05 1.17096e-04 9.04509e-10 5.34631e-05 2.35183e-04
1.24520e+03 7.21116e-05 1.30080e-04 3.87013e-09 5.91864e-05 2.61381e-04
1.11588e+03 8.04674e-05 1.44500e-04 1.42647e-08 6.55292e-05 2.90511e-04
1.00000e+03 8.97895e-05 1.60520e-04 4.60069e-08 7.25608e-05 3.22916e-04
8.96151e+02 1.00186e-04 1.78320e-04 1.31676e-07 8.03511e-05 3.58990e-04
8.03086e+02 1.11774e-04 1.98098e-04 3.38673e-07 8.89620e-05 3.99173e-04
7.19686e+02 1.24674e-04 2.20062e-04 7.91696e-07 9.84327e-05 4.43961e-04
6.44947e+02 1.39007e-04 2.44428e-04 1.69920e-06 1.08762e-04 4.93896e-04
5.77969e+02 1.54882e-04 2.71405e-04 3.37902e-06 1.19890e-04 5.49555e-04
5.17947e+02 1.72394e-04 3.01181e-04 6.27699e-06 1.31674e-04 6.11526e-04
4.64159e+02 1.91607e-04 3.33912e-04 1.09727e-05 1.43902e-04 6.80394e-04
4.15956e+02 2.12555e-04 3.69698e-04 1.81692e-05 1.56268e-04 7.56690e-04
3.72759e+02 2.35235e-04 4.08576e-04 2.86679e-05 1.68404e-04 8.40882e-04
3.34048e+02 2.59620e-04 4.50502e-04 4.33311e-05 1.79902e-04 9.33355e-04
2.99358e+02 2.85677e-04 4.95348e-04 6.30412e-05 1.90346e-04 1.03441e-03
2.68270e+02 3.13392e-04 5.42925e-04 8.86613e-05 1.99348e-04 1.14433e-03
2.40410e+02 3.42806e-04 5.92861e-04 1.21041e-04 2.06577e-04 1.26328e-03
2.15443e+02 3.74056e-04 6.44779e-04 1.60858e-04 2.11786e-04 1.39148e-03
1.93070e+02 4.07409e-04 6.98191e-04 2.08817e-04 2.14825e-04 1.52924e-03
1.73020e+02 4.43295e-04 7.52558e-04 2.65527e-04 2.15648e-04 1.67703e-03
1.55052e+02 4.82329e-04 8.07283e-04 3.31556e-04 2.14303e-04 1.83547e-03
1.38950e+02 5.25322e-04 8.61761e-04 4.07451e-04 2.10927e-04 2.00546e-03
1.24520e+02 5.73285e-04 9.15386e-04 4.93777e-04 2.05719e-04 2.18817e-03
1.11588e+02 6.27424e-04 9.67587e-04 5.91146e-04 1.98931e-04 2.38509e-03
1.00000e+02 6.89126e-04 1.01784e-03 7.00251e-04 1.90840e-04 2.59806e-03
8.96151e+01 7.59949e-04 1.06570e-03 8.21903e-04 1.81743e-04 2.82929e-03
8.03086e+01 8.41610e-04 1.11105e-03 9.57042e-04 1.71899e-04 3.08160e-03
7.19686e+01 9.35972e-04 1.15319e-03 1.10678e-03 1.61580e-04 3.35753e-03
6.44947e+01 1.04505e-03 1.19195e-03 1.27242e-03 1.51022e-04 3.66044e-03
5.77969e+01 1.17099e-03 1.22741e-03 1.45561e-03 1.40427e-04 3.99443e-03
5.17947e+01 1.31612e-03 1.25944e-03 1.65789e-03 1.29973e-04 4.36342e-03
4.64159e+01 1.48293e-03 1.28806e-03 1.88128e-03 1.19797e-04 4.77207e-03
4.15956e+01 1.67411e-03 1.31349e-03 2.12826e-03 1.10005e-04 5.22586e-03
3.72759e+01 1.89256e-03 1.33574e-03 2.40126e-03 1.00678e-04 5.73024e-03
3.34048e+01 2.14147e-03 1.35509e-03 2.70342e-03 9.18649e-05 6.29183e-03
2.99358e+01 2.42430e-03 1.37172e-03 3.03793e-03 8.35974e-05 6.91755e-03
2.68270e+01 2.74488e-03 1.38581e-03 3.40853e-03 7.58907e-05 7.61511e-03
2.40410e+01 3.10743e-03 1.39762e-03 3.81949e-03 6.87492e-05 8.39329e-03
2.15443e+01 3.51662e-03 1.40737e-03 4.27544e-03 6.21706e-05 9.26160e-03
1.93070e+01 3.97763e-03 1.41526e-03 4.78167e-03 5.61432e-05 1.02307e-02
1.73020e+01 4.49625e-03 1.42151e-03 5.34400e-03 5.06446e-05 1.13124e-02
1.55052e+01 5.07889e-03 1.42632e-03 5.96896e-03 4.56413e-05 1.25198e-02
1.38950e+01 5.73273e-03 1.42987e-03 6.66384e-03 4.10914e-05 1.38675e-02
1.24520e+01 6.46576e-03 1.43234e-03 7.44168e-03 3.69498e-05 1.53767e-02
1.11588e+01 7.28692e-03 1.43389e-03 8.29690e-03 3.31755e-05 1.70509e-02
1.00000e+01 8.20617e-03 1.43462e-03 9.25422e-03 2.97373e-05 1.89248e-02
