# d_f:2
# l:200
# g:100
# N_e:0
# l_k:1
# ideal_br:False
# 
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 1.04768e-07 4.18887e-07 1.05606e-26 4.18704e-07 9.42359e-07
8.96151e+03 1.23652e-07 4.94338e-07 1.94359e-24 4.94068e-07 1.11206e-06
8.03086e+03 1.45964e-07 5.83456e-07 2.08353e-22 5.83056e-07 1.31248e-06
7.19686e+03 1.72334e-07 6.88739e-07 1.37611e-20 6.88145e-07 1.54922e-06
6.44947e+03 2.03510e-07 8.13151e-07 5.88877e-19 8.12256e-07 1.82892e-06
5.77969e+03 2.40384e-07 9.60208e-07 1.70803e-17 9.58880e-07 2.15947e-06
5.17947e+03 2.84017e-07 1.13408e-06 3.49641e-16 1.13212e-06 2.55022e-06
4.64159e+03 3.35679e-07 1.33974e-06 5.23771e-15 1.33680e-06 3.01222e-06
4.15956e+03 3.96888e-07 1.58307e-06 5.93138e-14 1.57865e-06 3.55861e-06
3.72759e+03 4.69466e-07 1.87109e-06 5.22771e-13 1.86445e-06 4.20500e-06
3.34048e+03 5.55609e-07 2.21216e-06 3.68082e-12 2.20213e-06 4.96990e-06
2.99358e+03 6.57981e-07 2.61622e-06 2.11942e-11 2.60104e-06 5.87527e-06
2.68270e+03 7.79829e-07 3.09518e-06 1.01917e-10 3.07207e-06 6.94719e-06
2.40410e+03 9.25152e-07 3.66321e-06 4.17062e-10 3.62779e-06 8.21658e-06
2.15443e+03 1.09892e-06 4.33726e-06 1.47712e-09 4.28243e-06 9.72008e-06
1.93070e+03 1.30754e-06 5.13746e-06 4.59692e-09 5.05156e-06 1.15011e-05
1.73020e+03 1.55869e-06 6.08761e-06 1.27426e-08 5.95131e-06 1.36103e-05
1.55052e+03 1.86223e-06 7.21538e-06 3.18482e-08 6.99701e-06 1.61065e-05
1.38950e+03 2.23032e-06 8.55226e-06 7.25616e-08 8.20112e-06 1.90563e-05
1.24520e+03 2.67784e-06 1.01328e-05 1.52193e-07 9.57085e-06 2.25337e-05
1.11588e+03 3.21912e-06 1.19936e-05 2.96477e-07 1.11056e-05 2.66148e-05
1.00000e+03 3.87135e-06 1.41710e-05 5.40690e-07 1.27950e-05 3.13781e-05
8.96151e+02 4.65066e-06 1.67019e-05 9.29765e-07 1.46180e-05 3.69003e-05
8.03086e+02 5.57124e-06 1.96095e-05 1.51727e-06 1.65430e-05 4.32410e-05
7.19686e+02 6.64386e-06 2.29178e-05 2.36341e-06 1.85294e-05 5.04544e-05
6.44947e+02 7.87461e-06 2.66388e-05 3.53243e-06 2.05305e-05 5.85764e-05
5.77969e+02 9.26410e-06 3.07754e-05 5.09001e-06 2.24968e-05 6.76263e-05
5.17947e+02 1.08074e-05 3.53210e-05 7.10111e-06 2.43791e-05 7.76086e-05
4.64159e+02 1.24944e-05 4.02605e-05 9.62880e-06 2.61320e-05 8.85158e-05
4.15956e+02 1.43115e-05 4.55729e-05 1.27342e-05 2.77162e-05 1.00335e-04
3.72759e+02 1.62436e-05 5.12332e-05 1.64775e-05 2.91000e-05 1.13054e-04
3.34048e+02 1.82762e-05 5.72148e-05 2.09205e-05 3.02605e-05 1.26672e-04
2.99358e+02 2.03993e-05 6.35078e-05 2.61298e-05 3.11806e-05 1.41218e-04
2.68270e+02 2.26104e-05 7.00550e-05 3.21805e-05 3.18603e-05 1.56706e-04
2.40410e+02 2.49177e-05 7.68532e-05 3.91610e-05 3.22982e-05 1.73230e-04
2.15443e+02 2.73443e-05 8.38845e-05 4.72913e-05 3.25025e-05 1.91023e-04
1.93070e+02 2.99307e-05 9.11290e-05 5.64805e-05 3.24893e-05 2.10029e-04
1.73020e+02 3.27384e-05 9.85787e-05 6.69940e-05 3.22713e-05 2.30582e-04
1.55052e+02 3.58528e-05 1.06226e-04 7.90250e-05 3.18708e-05 2.52975e-04
1.38950e+02 3.93860e-05 1.14068e-04 9.28078e-05 3.13101e-05 2.77572e-04
1.24520e+02 4.34801e-05 1.22104e-04 1.08628e-04 3.06120e-05 3.04824e-04
