# d_f:2.7
# l:100
# g:25
# phi:0.1
# l_k:3.5
# ideal_br:True
# N_e:11078
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 1.27498e-08 1.00857e-07 8.78924e-49 1.99513e-07 3.13119e-07
8.96151e+03 1.49889e-08 1.18441e-07 2.94578e-44 2.34018e-07 3.67448e-07
8.03086e+03 1.76290e-08 1.39120e-07 3.34941e-40 2.74510e-07 4.31259e-07
7.19686e+03 2.07425e-08 1.63444e-07 1.44549e-36 3.22026e-07 5.06213e-07
6.44947e+03 2.44156e-08 1.92059e-07 2.61842e-33 3.77772e-07 5.94247e-07
5.77969e+03 2.87499e-08 2.25715e-07 2.17869e-30 4.43142e-07 6.97606e-07
5.17947e+03 3.38662e-08 2.65312e-07 9.02759e-28 5.19789e-07 8.18967e-07
4.64159e+03 3.99074e-08 3.11880e-07 2.00271e-25 6.09587e-07 9.61374e-07
4.15956e+03 4.70435e-08 3.66642e-07 2.53814e-23 7.14730e-07 1.12841e-06
3.72759e+03 5.54762e-08 4.31026e-07 1.94770e-21 8.37750e-07 1.32425e-06
3.34048e+03 6.54456e-08 5.06707e-07 9.53400e-20 9.81537e-07 1.55369e-06
2.99358e+03 7.72377e-08 5.95640e-07 3.11933e-18 1.14950e-06 1.82237e-06
2.68270e+03 9.11938e-08 7.00112e-07 7.11320e-17 1.34543e-06 2.13673e-06
2.40410e+03 1.07722e-07 8.22787e-07 1.17378e-15 1.57369e-06 2.50420e-06
2.15443e+03 1.27311e-07 9.66771e-07 1.44955e-14 1.83922e-06 2.93330e-06
1.93070e+03 1.50549e-07 1.13567e-06 1.38072e-13 2.14756e-06 3.43379e-06
1.73020e+03 1.78145e-07 1.33368e-06 1.04218e-12 2.50492e-06 4.01674e-06
1.55052e+03 2.10962e-07 1.56562e-06 6.38659e-12 2.91812e-06 4.69470e-06
1.38950e+03 2.50050e-07 1.83709e-06 3.24734e-11 3.39462e-06 5.48180e-06
1.24520e+03 2.96707e-07 2.15452e-06 1.39695e-10 3.94247e-06 6.39384e-06
1.11588e+03 3.52546e-07 2.52528e-06 5.17398e-10 4.57007e-06 7.44841e-06
1.00000e+03 4.19587e-07 2.95776e-06 1.67597e-09 5.28591e-06 8.66493e-06
8.96151e+02 5.00568e-07 3.46147e-06 4.81522e-09 6.09799e-06 1.00648e-05
8.03086e+02 5.98581e-07 4.04745e-06 1.24268e-08 7.01302e-06 1.16715e-05
7.19686e+02 7.17656e-07 4.72674e-06 2.91357e-08 8.03526e-06 1.35088e-05
6.44947e+02 8.62602e-07 5.51192e-06 6.26949e-08 9.16529e-06 1.56025e-05
5.77969e+02 1.03982e-06 6.41553e-06 1.24956e-07 1.03987e-05 1.79790e-05
5.17947e+02 1.25401e-06 7.44969e-06 2.32578e-07 1.17251e-05 2.06614e-05
4.64159e+02 1.51166e-06 8.62517e-06 4.07274e-07 1.31279e-05 2.36720e-05
4.15956e+02 1.81828e-06 9.95061e-06 6.75462e-07 1.45844e-05 2.70288e-05
3.72759e+02 2.17829e-06 1.14317e-05 1.06738e-06 1.60674e-05 3.07447e-05
3.34048e+02 2.59458e-06 1.30702e-05 1.61581e-06 1.75461e-05 3.48267e-05
2.99358e+02 3.06809e-06 1.48648e-05 2.35469e-06 1.89891e-05 3.92767e-05
2.68270e+02 3.59763e-06 1.68103e-05 3.31792e-06 2.03659e-05 4.40918e-05
2.40410e+02 4.17984e-06 1.88982e-05 4.53853e-06 2.16491e-05 4.92656e-05
2.15443e+02 4.80944e-06 2.11176e-05 6.04848e-06 2.28155e-05 5.47911e-05
1.93070e+02 5.47959e-06 2.34569e-05 7.87904e-06 2.38474e-05 6.06630e-05
1.73020e+02 6.18233e-06 2.59126e-05 1.00618e-05 2.47325e-05 6.68893e-05
1.55052e+02 6.90922e-06 2.84597e-05 1.26304e-05 2.54638e-05 7.34631e-05
1.38950e+02 7.65198e-06 3.10975e-05 1.56708e-05 2.60391e-05 8.04594e-05
1.24520e+02 8.40329e-06 3.38219e-05 1.91331e-05 2.64602e-05 8.78185e-05
1.11588e+02 9.15762e-06 3.66329e-05 2.31132e-05 2.67319e-05 9.56356e-05
1.00000e+02 9.91226e-06 3.95345e-05 2.76741e-05 2.68616e-05 1.03982e-04
8.96151e+01 1.06684e-05 4.25345e-05 3.28926e-05 2.68583e-05 1.12954e-04
8.03086e+01 1.14325e-05 4.56440e-05 3.88638e-05 2.67312e-05 1.22671e-04
7.19686e+01 1.22175e-05 4.88766e-05 4.57016e-05 2.64908e-05 1.33286e-04
6.44947e+01 1.30439e-05 5.22473e-05 5.35447e-05 2.61476e-05 1.44984e-04
5.77969e+01 1.39420e-05 5.57720e-05 6.25598e-05 2.57123e-05 1.57986e-04
5.17947e+01 1.49525e-05 5.94650e-05 7.29461e-05 2.51932e-05 1.72557e-04
4.64159e+01 1.61285e-05 6.33457e-05 8.49449e-05 2.46091e-05 1.89028e-04
4.15956e+01 1.75366e-05 6.77769e-05 9.88382e-05 2.39626e-05 2.08114e-04
3.72759e+01 1.92590e-05 7.23102e-05 1.14962e-04 2.32663e-05 2.29797e-04
3.34048e+01 2.13952e-05 7.69852e-05 1.33712e-04 2.25295e-05 2.54622e-04
2.99358e+01 2.40643e-05 8.18370e-05 1.55556e-04 2.17605e-05 2.83218e-04
2.68270e+01 2.74075e-05 8.66934e-05 1.81044e-04 2.09680e-05 3.16113e-04
2.40410e+01 3.15915e-05 9.23088e-05 2.11072e-04 2.01606e-05 3.55133e-04
2.15443e+01 3.68125e-05 9.75260e-05 2.45863e-04 1.93472e-05 3.99549e-04
1.93070e+01 4.33004e-05 1.03549e-04 2.86901e-04 1.85372e-05 4.52288e-04
1.73020e+01 5.13253e-05 1.09599e-04 3.34807e-04 1.77372e-05 5.13469e-04
1.55052e+01 6.12038e-05 1.15940e-04 3.91073e-04 1.69511e-05 5.85168e-04
1.38950e+01 7.33076e-05 1.22487e-04 4.57185e-04 1.61794e-05 6.69159e-04
1.24520e+01 8.80730e-05 1.29593e-04 5.35561e-04 1.54200e-05 7.68647e-04
1.11588e+01 1.06013e-04 1.36933e-04 6.25826e-04 1.46705e-05 8.83442e-04
1.00000e+01 1.27730e-04 1.44651e-04 7.33141e-04 1.39309e-05 1.01945e-03
1.73020e+04 5.67542e-09 4.51333e-08 1.36153e-80 8.97323e-08 1.40541e-07
1.55052e+04 6.67754e-09 5.30452e-08 9.13440e-73 1.05349e-07 1.65072e-07
1.38950e+04 7.85095e-09 6.23067e-08 9.43793e-66 1.23625e-07 1.93783e-07
1.24520e+04 9.22739e-09 7.31610e-08 1.82406e-59 1.45026e-07 2.27414e-07
1.11588e+04 1.08502e-08 8.58971e-08 7.84886e-54 1.70104e-07 2.66851e-07
